Progress,Duration (in seconds),Finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,177,TRUE,100,100,0,,,,65,100,82,41,,100,0,14,,87,,0,,35,Female,White / Caucasian,,Some College,Rung 7,start a fundraiser,call a taxi,sell one of his kidneys,,,,go without Ted,ask the parents if they know him,honk at the driver until they pull over,take her to his house but no further,,store the knife in an airport locker,blame it on the maid of honor,abandon his father,,give Todd her water,,hide him in the snow
100,186,TRUE,82,43,5,,100,100,,,,0,0,0,,1,0,72,,0,,45,Female,White / Caucasian,,College Graduate (4 year),Rung 2,commit credit card fraud,reschedule for a later flight,get an advance payday loan,,bring in the assignment the next day,collect wood to start a fire,,,,turn invisible,slash the tires,hide the knife in someone else's bag,,pitch his situation to a reality TV network,sell all the food to the highest bidder,hike until she finds cell service,,call for help
100,188,TRUE,38,,60,20,61,2,,5,50,,78,,73,22,,,27,1,,29,Female,White / Caucasian,,College Graduate (4 year),Rung 5,go on strike for better wages,,explain the situation to his boss,lie that she left her card inside,copy a friend's assignment,throw away all of the food,,make cat noises at him until he leaves,take a detour at the next exit,,call emergency services,,tell his sister as soon as possible,pitch his situation to a reality TV network,,,tell his lawyer that he’s sick,steal his dogs for extra speed
100,210,TRUE,98,58,,,0,,0,12,65,6,,55,0,,,98,88,75,,37,Female,White / Caucasian,,College Graduate (4 year),Rung 4,switch insurance plans,take a public bus,,,hypnotize the teacher,,give her ticket to Ted,read his mind,take a detour at the next exit,take her to his house but no further,,take a train instead,steal someone else’s ring,,,hike until she finds cell service,call his lawyer,carry her competitor on her sled
100,191,TRUE,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,31,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,call a taxi,sell one of his kidneys,renew her membership,call her mom,steal all of the food and water,pretend they are conjoined twins,,take a detour at the next exit,,slash the tires,,steal someone else’s ring,get another job,,,lock up the store,finish the race
100,150,TRUE,100,0,0,0,,100,0,,100,,100,100,,100,0,,0,,,30,Female,White / Caucasian,,College Graduate (4 year),Rung 8,start a fundraiser,try to convince a passing driver to trade cars,overcharge the next customers,pull the fire alarm,,collect wood to start a fire,try to buy a ticket off another person,,pull over and call 911,,ask to use the mall's loudspeaker,take a train instead,,check in on his father daily,throw disobedient passengers off the boat,,leave the store unattended,
100,225,TRUE,90,,,81,,5,65,55,61,10,30,62,40,,75,40,,,,29,Female,White / Caucasian,,Some College,Rung 3,take out a loan,,,renew her membership,,steal all of the food and water,try to buy a ticket off another person,wave to the parents,honk at the driver until they pull over,call her a cab,check that the doors are locked,take a train instead,borrow their mom’s wedding ring,,organize a fishing crew,give Todd her water,,
100,188,TRUE,0,70,,50,0,,,0,0,0,0,,0,,,10,0,0,,39,Female,White / Caucasian,,College Graduate (4 year),Rung 7,commit credit card fraud,take a public bus,,pay for a day-pass to the gym,hypnotize the teacher,,,tackle him and hold him down,tailgate the car,refuse to drive her,light a fire under the car,,steal someone else’s ring,,,saw Todd’s arm off,tell his lawyer that he’s sick,finish the race
100,221,TRUE,99,81,,,,81,50,50,71,1,,20,100,,91,80,1,,,42,Female,White / Caucasian,,College Graduate (4 year),Rung 7,switch insurance plans,take a public bus,,,,collect wood to start a fire,try to buy a ticket off another person,make cat noises at him until he leaves,pull over and call 911,steal whatever she has on her,,pretend the knife is part of a hip replacement,call the taxi company,,request supplies to be airdropped,saw Todd’s arm off,stage a break-in at the store,
100,234,TRUE,92,,,6,,100,40,15,62,14,100,0,0,,1,100,,,,38,Female,White / Caucasian,,Master's Degree (MS),Rung 4,search for the medication on the black market,,,crawl past the front desk,,huddle to conserve energy,go without Ted,make cat noises at him until he leaves,take a detour at the next exit,call her a cab,call emergency services,threaten security with the knife,blame it on the maid of honor,,sell all the food to the highest bidder,give Todd her water,,
100,196,TRUE,95,51,75,,40,,16,0,25,,84,0,,50,37,,61,,,25,Male,White / Caucasian,,High School or equivalent,Rung 3,switch insurance plans,reschedule for a later flight,explain the situation to his boss,,copy a friend's assignment,,steal someone else's ticket,tackle him and hold him down,tailgate the car,,call emergency services,threaten security with the knife,,get another job,sell all the food to the highest bidder,,call his lawyer,
100,160,TRUE,,,50,91,30,31,71,30,,61,,31,99,10,,49,,50,,30,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 5,,,get an advance payday loan,renew her membership,hypnotize the teacher,throw away all of the food,give her ticket to Ted,tackle him and hold him down,,yell in gibberish until she leaves,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,abandon his father,,saw Todd’s arm off,,finish the race
100,153,TRUE,,,85,81,82,81,,,81,81,,73,90,91,72,84,,79,,44,Male,White / Caucasian,,Master's Degree (MS),Rung 7,,,overcharge the next customers,lie that she left her card inside,hypnotize the teacher,search for a water source,,,honk at the driver until they pull over,refuse to drive her,,hide the knife in someone else's bag,call the taxi company,abandon his father,serve engine fuel to the passengers,hike until she finds cell service,,leave her dogs with him
100,166,TRUE,50,1,,90,1,,,90,1,1,,1,1,,1,1,,1,,33,Female,White / Caucasian,,Some College,Rung 3,take out a loan,try to convince a passing driver to trade cars,,pay for a day-pass to the gym,lie that her house burnt down,,,keep an eye on him,tailgate the car,yell in gibberish until she leaves,,hide the knife in someone else's bag,steal someone else’s ring,,organize a fishing crew,yell at Todd for getting stuck,,leave her dogs with him
100,163,TRUE,86,41,,,86,8,21,94,,,95,44,17,12,,17,8,,,28,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,go on strike for better wages,try to convince a passing driver to trade cars,,,quickly try to redo the assignment,steal all of the food and water,pretend they are conjoined twins,keep an eye on him,,,check that the doors are locked,pretend the knife is part of a hip replacement,blame it on the maid of honor,buy his father a tent,,yell at Todd for getting stuck,stage a break-in at the store,
100,182,TRUE,55,0,0,88,,0,0,,69,,100,72,,100,80,,0,,,41,Female,White / Caucasian,,High School or equivalent,Rung 6,take out a loan,demand that the airline delays the flight,sell one of his kidneys,pay for a day-pass to the gym,,boost morale with a three-legged race,steal someone else's ticket,,honk at the driver until they pull over,,ask to use the mall's loudspeaker,take a train instead,,check in on his father daily,organize a fishing crew,,leave the store unattended,
100,230,TRUE,100,98,,70,,,,6,75,0,0,0,2,,100,5,10,,,60,Female,White / Caucasian,,College Graduate (4 year),Rung 5,start a fundraiser,call a taxi,,renew her membership,,,,make cat noises at him until he leaves,honk at the driver until they pull over,yell in gibberish until she leaves,light a fire under the car,hide the knife in someone else's bag,steal someone else’s ring,,ration their food,yell at Todd for getting stuck,stage a break-in at the store,
100,225,TRUE,100,92,,50,86,,85,92,59,95,,0,100,,0,0,,,,29,Female,Black / African American,,,Rung 4,take out a loan,take a public bus,,borrow someone's phone,copy a friend's assignment,,teleport into the concert,wave to the parents,honk an angry message in Morse code,turn invisible,,threaten security with the knife,call the taxi company,,throw disobedient passengers off the boat,get her arm stuck in solidarity,,
100,85,TRUE,36,45,54,52,43,,51,67,82,72,,71,,,,,83,55,,25,Male,Native American / American Indian,,Master's Degree (MS),Rung 10 (Top Rung),search for the medication on the black market,take a public bus,get an advance payday loan,pull the fire alarm,quickly try to redo the assignment,,pretend they are conjoined twins,wave to the parents,ram into the car,yell in gibberish until she leaves,,ask to check the knife,,,,,tell his lawyer that he’s sick,hide him in the snow
100,156,TRUE,32,,,48,38,65,,49,81,,,30,46,45,58,51,,38,,42,Male,White / Caucasian,,College Graduate (4 year),Rung 8,go on strike for better wages,,,pay for a day-pass to the gym,lie that her house burnt down,huddle to conserve energy,,read his mind,pull over and call 911,,,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,check in on his father daily,throw disobedient passengers off the boat,give Todd her water,,finish the race
100,152,TRUE,,86,45,72,,,,41,95,60,70,,97,81,46,80,,88,,25,Male,White / Caucasian,,College Graduate (4 year),Rung 5,,reschedule for a later flight,explain the situation to his boss,crawl past the front desk,,,,wave to the parents,pull over and call 911,take her to his house but no further,pour water on the car to cool it,,call the taxi company,check in on his father daily,organize a fishing crew,get her arm stuck in solidarity,,call for help
100,250,TRUE,,100,100,100,0,100,,80,,,30,,0,40,0,,100,60,,45,Male,White / Caucasian,,High School or equivalent,Rung 5,,take a public bus,explain the situation to his boss,borrow someone's phone,copy a friend's assignment,search for a water source,,wave to the parents,,,pour water on the car to cool it,,run away,pitch his situation to a reality TV network,serve engine fuel to the passengers,,ask a friend to take over,leave her dogs with him
100,230,TRUE,1,,3,,,20,,,0,0,,2,4,100,80,100,100,0,,40,Male,White / Caucasian,,High School or equivalent,Rung 5,commit credit card fraud,,stage a robbery,,,throw away all of the food,,,honk an angry message in Morse code,turn invisible,,hide the knife in someone else's bag,borrow their mom’s wedding ring,check in on his father daily,request supplies to be airdropped,saw Todd’s arm off,call his lawyer,steal his dogs for extra speed
100,183,TRUE,45,,0,75,86,8,0,,,,,94,0,1,,71,0,71,,25,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 7,search for the medication on the black market,,stage a robbery,renew her membership,quickly try to redo the assignment,boost morale with a three-legged race,steal someone else's ticket,,,,,ask to check the knife,blame it on the maid of honor,abandon his father,,hike until she finds cell service,stage a break-in at the store,finish the race
100,168,TRUE,84,,5,2,0,60,51,,90,51,,,17,,,53,53,5,,25,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 5,take out a loan,,pay the money from his own wallet,pull the fire alarm,lie that her house burnt down,collect wood to start a fire,go without Ted,,pull over and call 911,refuse to drive her,,,run away,,,leave Todd to save herself,tell his lawyer that he’s sick,finish the race
100,223,TRUE,91,0,,0,,0,0,90,0,81,0,,19,,91,,4,,,69,Male,White / Caucasian,,Some College,Rung 4,search for the medication on the black market,try to convince a passing driver to trade cars,,pull the fire alarm,,boost morale with a three-legged race,pretend they are conjoined twins,keep an eye on him,tailgate the car,call her a cab,light a fire under the car,,blame it on the maid of honor,,request supplies to be airdropped,,stage a break-in at the store,
100,211,TRUE,,,7,33,,25,,84,38,,86,86,,7,43,25,25,4,,32,Male,White / Caucasian,,Some College,Rung 3,,,sell one of his kidneys,lie that she left her card inside,,boost morale with a three-legged race,,tackle him and hold him down,pull over and call 911,,check that the doors are locked,store the knife in an airport locker,,buy his father a tent,organize a fishing crew,saw Todd’s arm off,ask a friend to take over,hide him in the snow
100,97,TRUE,,,88,89,90,85,87,,91,83,89,,,88,83,93,77,,,35,Male,White / Caucasian,,College Graduate (4 year),Rung 8,,,get an advance payday loan,crawl past the front desk,bring in the assignment the next day,collect wood to start a fire,give her ticket to Ted,,tailgate the car,take her to his house but no further,check that the doors are locked,,,pitch his situation to a reality TV network,sell all the food to the highest bidder,leave Todd to save herself,leave the store unattended,
100,205,TRUE,,80,78,,,82,88,88,84,,90,80,80,81,71,79,,,,33,Male,White / Caucasian,,Master's Degree (MS),Rung 9,,call a taxi,overcharge the next customers,,,throw away all of the food,give her ticket to Ted,wave to the parents,ram into the car,,slash the tires,threaten security with the knife,borrow their mom’s wedding ring,check in on his father daily,throw disobedient passengers off the boat,get her arm stuck in solidarity,,
100,228,TRUE,81,77,8,12,1,,,,17,0,,3,,75,,50,0,11,,33,Male,White / Caucasian,,Some College,Rung 4,take out a loan,call a taxi,pay the money from his own wallet,borrow someone's phone,hypnotize the teacher,,,,honk at the driver until they pull over,turn invisible,,hide the knife in someone else's bag,,check in on his father daily,,hike until she finds cell service,stage a break-in at the store,leave her dogs with him
100,242,TRUE,90,,100,,90,3,2,83,70,,,0,0,70,0,,20,,,50,Male,White / Caucasian,,Some College,Rung 2,start a fundraiser,,pay the money from his own wallet,,quickly try to redo the assignment,steal all of the food and water,give her ticket to Ted,ask the parents if they know him,pull over and call 911,,,pretend the knife is part of a hip replacement,blame it on the maid of honor,check in on his father daily,sell all the food to the highest bidder,,tell his lawyer that he’s sick,
100,209,TRUE,,30,1,30,91,,,25,,,76,2,,72,91,1,5,1,,53,Male,White / Caucasian,,Some College,Rung 3,,try to convince a passing driver to trade cars,stage a robbery,lie that she left her card inside,call her mom,,,tackle him and hold him down,,,ask to use the mall's loudspeaker,hide the knife in someone else's bag,,get another job,request supplies to be airdropped,yell at Todd for getting stuck,ask a friend to take over,steal his dogs for extra speed
100,238,TRUE,51,,0,,100,,1,,0,18,73,100,,100,,100,1,20,,27,Female,White / Caucasian,,Some College,Rung 1 (Bottom Rung),switch insurance plans,,stage a robbery,,quickly try to redo the assignment,,teleport into the concert,,tailgate the car,take her to his house but no further,pour water on the car to cool it,store the knife in an airport locker,,check in on his father daily,,give Todd her water,stage a break-in at the store,carry her competitor on her sled
100,238,TRUE,,0,20,75,100,,60,0,0,,0,0,,,0,0,80,,,29,Male,White / Caucasian,,Master's Degree (MS),Rung 7,,steal a passing driver's car,overcharge the next customers,renew her membership,call her mom,,go without Ted,read his mind,tailgate the car,,check that the doors are locked,hide the knife in someone else's bag,,,sell all the food to the highest bidder,get her arm stuck in solidarity,ask a friend to take over,
100,185,TRUE,,69,0,0,0,14,,,0,0,,,0,13,0,0,,9,,46,Female,White / Caucasian,,Some College,Rung 3,,reschedule for a later flight,overcharge the next customers,crawl past the front desk,copy a friend's assignment,huddle to conserve energy,,,honk an angry message in Morse code,call her a cab,,,tell his sister as soon as possible,abandon his father,sell all the food to the highest bidder,get her arm stuck in solidarity,,finish the race
100,282,TRUE,,,13,63,71,5,,,,0,94,100,7,95,0,91,31,,,25,Male,White / Caucasian,,Some College,Rung 4,,,stage a robbery,pay for a day-pass to the gym,bring in the assignment the next day,throw away all of the food,,,,steal whatever she has on her,pour water on the car to cool it,take a train instead,borrow their mom’s wedding ring,pitch his situation to a reality TV network,throw disobedient passengers off the boat,leave Todd to save herself,stage a break-in at the store,
100,170,TRUE,50,,0,0,0,17,,,9,13,50,0,,,70,,0,0,,33,Male,White / Caucasian,,Some College,Rung 4,go on strike for better wages,,stage a robbery,pull the fire alarm,lie that her house burnt down,steal all of the food and water,,,honk an angry message in Morse code,take her to his house but no further,check that the doors are locked,ask to check the knife,,,organize a fishing crew,,leave the store unattended,leave her dogs with him
100,219,TRUE,60,0,,40,,20,25,40,70,20,50,,,,80,,60,15,,23,Other,White / Caucasian,,College Graduate (4 year),Rung 4,start a fundraiser,demand that the airline delays the flight,,borrow someone's phone,,boost morale with a three-legged race,try to buy a ticket off another person,ask the parents if they know him,pull over and call 911,call her a cab,pour water on the car to cool it,,,,ration their food,,ask a friend to take over,steal his dogs for extra speed
100,296,TRUE,20,80,10,0,100,100,1,,,0,,0,,0,100,,,80,,46,Female,White / Caucasian,,College Graduate (4 year),Rung 7,go on strike for better wages,take a public bus,pay the money from his own wallet,pull the fire alarm,quickly try to redo the assignment,search for a water source,pretend they are conjoined twins,,,yell in gibberish until she leaves,,threaten security with the knife,,pitch his situation to a reality TV network,request supplies to be airdropped,,,steal his dogs for extra speed
100,259,TRUE,5,1,91,100,,1,1,,100,,1,49,,91,92,,8,,,65,Female,White / Caucasian,,Master's Degree (MS),Rung 4,go on strike for better wages,demand that the airline delays the flight,pay the money from his own wallet,borrow someone's phone,,throw away all of the food,teleport into the concert,,take a detour at the next exit,,light a fire under the car,take a train instead,,get another job,organize a fishing crew,,tell his lawyer that he’s sick,
100,305,TRUE,66,10,,,,20,0,11,10,0,,0,3,,4,0,0,,,53,Male,White / Caucasian,,College Graduate (4 year),Rung 5,take out a loan,demand that the airline delays the flight,,,,boost morale with a three-legged race,pretend they are conjoined twins,read his mind,ram into the car,turn invisible,,threaten security with the knife,steal someone else’s ring,,sell all the food to the highest bidder,get her arm stuck in solidarity,stage a break-in at the store,
100,223,TRUE,,25,20,26,,,,0,0,,30,40,,30,40,40,23,20,,26,Female,White / Caucasian,,College Graduate (4 year),Rung 3,,take a public bus,overcharge the next customers,borrow someone's phone,,,,read his mind,honk an angry message in Morse code,,pour water on the car to cool it,ask to check the knife,,check in on his father daily,ration their food,hike until she finds cell service,call his lawyer,finish the race
100,120,TRUE,,100,100,95,,100,95,99,,96,97,,100,,97,100,100,,,43,Female,Black / African American,,Master's Degree (MS),Rung 9,,try to convince a passing driver to trade cars,overcharge the next customers,pull the fire alarm,,collect wood to start a fire,try to buy a ticket off another person,keep an eye on him,,take her to his house but no further,light a fire under the car,,run away,,request supplies to be airdropped,hike until she finds cell service,stage a break-in at the store,
100,236,TRUE,52,100,0,,100,,0,83,49,,,0,100,0,,100,0,,,34,Male,White / Caucasian,,High School or equivalent,Rung 5,take out a loan,call a taxi,sell one of his kidneys,,quickly try to redo the assignment,,pretend they are conjoined twins,wave to the parents,pull over and call 911,,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,abandon his father,,hike until she finds cell service,call his lawyer,
100,263,TRUE,,,0,,,0,0,,0,0,0,0,0,80,0,5,10,,,49,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,,overcharge the next customers,,,steal all of the food and water,pretend they are conjoined twins,,honk at the driver until they pull over,refuse to drive her,light a fire under the car,hide the knife in someone else's bag,steal someone else’s ring,move into his father’s apartment,serve engine fuel to the passengers,give Todd her water,ask a friend to take over,
100,319,TRUE,90,,0,13,0,,68,42,,0,0,0,100,,,60,,0,,41,Female,Black / African American,,High School or equivalent,Rung 3,start a fundraiser,,stage a robbery,crawl past the front desk,hypnotize the teacher,,try to buy a ticket off another person,wave to the parents,,yell in gibberish until she leaves,light a fire under the car,hide the knife in someone else's bag,call the taxi company,,,leave Todd to save herself,,steal his dogs for extra speed
100,205,TRUE,48,11,,,,0,,0,,0,8,0,0,100,82,59,,100,,35,Male,White / Caucasian,,Master's Degree (MS),Rung 7,go on strike for better wages,demand that the airline delays the flight,,,,boost morale with a three-legged race,,make cat noises at him until he leaves,,steal whatever she has on her,slash the tires,threaten security with the knife,run away,move into his father’s apartment,request supplies to be airdropped,hike until she finds cell service,,call for help
100,236,TRUE,71,99,,,97,6,1,1,,33,1,1,100,,84,,96,,,42,Male,White / Caucasian,,Master's Degree (MS),Rung 7,start a fundraiser,call a taxi,,,call her mom,boost morale with a three-legged race,give her ticket to Ted,make cat noises at him until he leaves,,call her a cab,pour water on the car to cool it,hide the knife in someone else's bag,call the taxi company,,request supplies to be airdropped,,ask a friend to take over,
100,296,TRUE,73,,,,0,,51,0,0,0,,0,0,62,100,0,,0,,59,Female,White / Caucasian,,College Graduate (4 year),Rung 6,search for the medication on the black market,,,,hypnotize the teacher,,go without Ted,make cat noises at him until he leaves,ram into the car,turn invisible,,pretend the knife is part of a hip replacement,blame it on the maid of honor,get another job,request supplies to be airdropped,yell at Todd for getting stuck,,steal his dogs for extra speed
100,311,TRUE,31,,0,,59,0,1,,1,1,,58,,27,1,0,,1,,31,Female,Hispanic / Latino,,Some College,Rung 2,switch insurance plans,,stage a robbery,,quickly try to redo the assignment,throw away all of the food,give her ticket to Ted,,honk an angry message in Morse code,call her a cab,,ask to check the knife,,get another job,ration their food,get her arm stuck in solidarity,,leave her dogs with him
100,288,TRUE,87,70,0,0,1,,0,,0,0,,100,,0,,0,53,,,19,Female,Hispanic / Latino,,Some College,Rung 5,switch insurance plans,reschedule for a later flight,pay the money from his own wallet,crawl past the front desk,hypnotize the teacher,,give her ticket to Ted,,pull over and call 911,refuse to drive her,,ask to check the knife,,abandon his father,,yell at Todd for getting stuck,ask a friend to take over,
100,186,TRUE,92,,0,48,82,,,0,,,0,100,27,0,0,0,80,,,38,Male,White / Caucasian,,College Graduate (4 year),Rung 7,search for the medication on the black market,,overcharge the next customers,renew her membership,bring in the assignment the next day,,,read his mind,,,light a fire under the car,ask to check the knife,borrow their mom’s wedding ring,abandon his father,throw disobedient passengers off the boat,yell at Todd for getting stuck,call his lawyer,
100,303,TRUE,,68,3,64,,11,36,43,,40,18,,49,,73,50,60,,,28,Female,Black / African American,,High School or equivalent,Rung 4,,take a public bus,stage a robbery,borrow someone's phone,,steal all of the food and water,steal someone else's ticket,read his mind,,refuse to drive her,pour water on the car to cool it,,borrow their mom’s wedding ring,,ration their food,give Todd her water,lock up the store,
100,298,TRUE,,75,9,,,26,65,72,,17,100,41,87,13,100,,29,,,32,Female,Black / African American,,Some College,Rung 4,,demand that the airline delays the flight,stage a robbery,,,steal all of the food and water,give her ticket to Ted,tackle him and hold him down,,refuse to drive her,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,borrow their mom’s wedding ring,pitch his situation to a reality TV network,ration their food,,call his lawyer,
100,237,TRUE,91,,,,70,20,0,,,4,100,30,100,20,,0,100,100,,29,Male,White / Caucasian,,High School or equivalent,Rung 3,commit credit card fraud,,,,copy a friend's assignment,boost morale with a three-legged race,teleport into the concert,,,yell in gibberish until she leaves,call emergency services,hide the knife in someone else's bag,call the taxi company,abandon his father,,get her arm stuck in solidarity,lock up the store,call for help
100,203,TRUE,,90,25,,,80,20,30,,10,,85,40,55,30,80,,15,,25,Male,White / Caucasian,,Some College,Rung 4,,reschedule for a later flight,stage a robbery,,,search for a water source,steal someone else's ticket,read his mind,,steal whatever she has on her,,ask to check the knife,borrow their mom’s wedding ring,abandon his father,throw disobedient passengers off the boat,hike until she finds cell service,,steal his dogs for extra speed
100,256,TRUE,,99,1,31,,,95,83,100,0,100,100,10,,100,,52,,,36,Male,White / Caucasian,,Some College,Rung 2,,try to convince a passing driver to trade cars,sell one of his kidneys,crawl past the front desk,,,try to buy a ticket off another person,tackle him and hold him down,pull over and call 911,turn invisible,ask to use the mall's loudspeaker,store the knife in an airport locker,blame it on the maid of honor,,request supplies to be airdropped,,lock up the store,
100,284,TRUE,,,0,,,0,64,93,100,90,0,,0,100,100,,100,37,,34,Male,White / Caucasian,,High School or equivalent,Rung 2,,,sell one of his kidneys,,,throw away all of the food,go without Ted,keep an eye on him,pull over and call 911,yell in gibberish until she leaves,slash the tires,,steal someone else’s ring,move into his father’s apartment,ration their food,,call his lawyer,steal his dogs for extra speed
100,231,TRUE,,95,90,75,1,,3,45,,,20,,97,2,55,0,90,,,37,Male,White / Caucasian,,High School or equivalent,Rung 3,,call a taxi,explain the situation to his boss,borrow someone's phone,hypnotize the teacher,,teleport into the concert,keep an eye on him,,,ask to use the mall's loudspeaker,,call the taxi company,pitch his situation to a reality TV network,organize a fishing crew,get her arm stuck in solidarity,call his lawyer,
