ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instr,scenario1,item001,item002,item003,item004,item005,item006,item007,item008,item013,item014,item015,item016,item017,item018,item019,item020,item021,item022,item023,item024,force1,time1_1,time1_2,time1_3,time1_4,scenario2,item025,item026,item027,item028,item029,item030,item031,item032,item037,item038,item039,item040,item041,item042,item043,item044,item045,item046,item047,item048,force2,time2_1,time2_2,time2_3,time2_4,scenario3,item049,item050,item051,item052,item053,item054,item055,item056,item061,item062,item063,item064,item065,item066,item067,item068,item069,item070,item071,item072,force3,time3_1,time3_2,time3_3,time3_4,scenario4,item073,item074,item075,item076,item077,item078,item079,item080,item085,item086,item087,item088,item089,item090,item091,item092,item093,item094,item095,item096,force4,time4_1,time4_2,time4_3,time4_4,scenario5,item097,item098,item099,item100,item101,item102,item103,item104,item109,item110,item111,item112,item113,item114,item115,item116,item117,item118,item119,item120,force5,time5_1,time5_2,time5_3,time5_4,scenario6,item121,item122,item123,item124,item125,item126,item127,item128,item133,item134,item135,item136,item137,item138,item139,item140,item141,item142,item143,item144,force6,time6_1,time6_2,time6_3,time6_4,demo,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_11,DO-BL-Scenario1,DO-BL-Scenario2,DO-BL-Scenario3,DO-BL-Scenario4,DO-BL-Scenario5,DO-BL-Scenario6,LocationLatitude,LocationLongitude,LocationAccuracy
R_wSDyO98RjFoNUdP,Default Response Set,Anonymous,,,67.253.177.178,0,7/23/2016 14:30,7/23/2016 14:32,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,3,15.283,15.283,16.474,1,1,,,,,,,,,,,1,,,,,,,,,,4,16.072,16.072,17.225,1,1,,,,,,,,,,,,1,,,,,,,,,3,27.944,43.383,44.852,2,1,,,,,1,,,,,,,,,,,,,,,,3,4.2,4.2,5.258,1,1,,1,,,,,,,,,,,,,,,,,,,4,26.544,28.658,29.804,3,1,,,,,,1,,,,,,,,,,,,,,,2,11.962,12.588,13.876,2,,33,1,5,,6,4,Scenario 1|Scenario 5|Scenario 6|Scenario 3|Scenario 2|Scenario 4,scenario1|item019|force1|time1,scenario2|item039|force2|time2,scenario3|item064|force3|time3,scenario4|item077|force4|time4,scenario5|item098|force5|time5,scenario6|item126|force6|time6,43.05110168,-77.5223999,-1
R_26hgG3Q4r65C0pS,Default Response Set,Anonymous,,,98.250.91.33,0,7/23/2016 14:29,7/23/2016 14:33,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,4,10.878,10.878,13.148,1,1,,,,,,,,,1,,,,,,,,,,,,2,31.498,41.608,60.367,5,1,,,,,,,,,,,,,,,,,,1,,,4,3.045,31.82,34.462,12,1,,,,,,,1,,,,,,,,,,,,,,2,1.076,19.154,20.818,2,1,,,,,,,,,,,1,,,,,,,,,,2,11.38,28.648,30.003,11,1,1,,,,,,,,,,,,,,,,,,,,3,18.106,19.584,20.654,2,,27,1,3,,6,3,Scenario 3|Scenario 5|Scenario 6|Scenario 2|Scenario 4|Scenario 1,scenario1|item006|force1|time1,scenario2|item037|force2|time2,scenario3|item070|force3|time3,scenario4|item079|force4|time4,scenario5|item111|force5|time5,scenario6|item121|force6|time6,42.37139893,-83.47019958,-1
R_QoZV94bpPBwn05P,Default Response Set,Anonymous,,,162.192.199.168,0,7/23/2016 14:30,7/23/2016 14:33,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,4,9.01,12.143,13.218,4,1,,,,,,1,,,,,,,,,,,,,,,2,2.522,16.864,19.527,7,1,,,,,,,,,,,,,,,,,,,,1,2,7.862,23.01,24.308,5,1,,,1,,,,,,,,,,,,,,,,,,2,7.543,13.147,14.108,4,1,,,,,,1,,,,,,,,,,,,,,,4,10.949,21.41,22.862,4,1,,,,,,,,,,,,,,,,,,,,1,2,4.799,7.984,9.003,3,,33,1,1,,5,8,Scenario 3|Scenario 1|Scenario 4|Scenario 6|Scenario 5|Scenario 2,scenario1|item021|force1|time1,scenario2|item030|force2|time2,scenario3|item072|force3|time3,scenario4|item075|force4|time4,scenario5|item102|force5|time5,scenario6|item144|force6|time6,26.21200562,-80.26689911,-1
R_2R8KZ2CimRLI3sw,Default Response Set,Anonymous,,,68.132.68.7,0,7/23/2016 14:30,7/23/2016 14:33,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,4,2.001,22.14,22.963,3,1,1,,,,,,,,,,,,,,,,,,,,2,4.564,13.9,15.206,3,1,1,,,,,,,,,,,,,,,,,,,,3,2.364,16.172,16.949,3,1,,,,,1,,,,,,,,,,,,,,,,4,8.778,19.957,20.6,3,1,,,,,,,,,,,,,,,,1,,,,,5,9.703,25.908,26.52,4,1,,,,,,,,,,,,,1,,,,,,,,2,1.608,17.206,18.132,3,,44,2,,,4,6,Scenario 4|Scenario 6|Scenario 3|Scenario 1|Scenario 5|Scenario 2,scenario1|item008|force1|time1,scenario2|item025|force2|time2,scenario3|item049|force3|time3,scenario4|item077|force4|time4,scenario5|item116|force5|time5,scenario6|item137|force6|time6,40.87190247,-73.43470001,-1
R_27QNqo2NRcyi4za,Default Response Set,Anonymous,,,71.12.87.120,0,7/23/2016 14:30,7/23/2016 14:33,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,3,20.274,20.274,21.364,1,1,,,,,,,,,,,,,,,,1,,,,,4,24.311,24.311,24.965,1,1,,1,,,,,,,,,,,,,,,,,,,3,21.959,23.807,24.516,3,1,,,,,,,,,,,,,,,1,,,,,,4,21.413,21.413,22.701,1,1,,,,,,,,,,,,,1,,,,,,,,5,20.329,20.83,21.379,2,1,,,,,,,1,,,,,,,,,,,,,,2,19.449,19.449,20.086,1,,29,2,5,,6,6,Scenario 2|Scenario 3|Scenario 6|Scenario 1|Scenario 4|Scenario 5,scenario1|item004|force1|time1,scenario2|item044|force2|time2,scenario3|item050|force3|time3,scenario4|item091|force4|time4,scenario5|item113|force5|time5,scenario6|item127|force6|time6,34.88220215,-81.85109711,-1
R_bDf4p2vHVdtJyWR,Default Response Set,Anonymous,,,72.241.243.16,0,7/23/2016 14:30,7/23/2016 14:33,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,2,9.998,14.109,23.743,4,1,,,,,,,,,,,,,,,,,,,,1,2,35.15,35.15,35.788,1,1,,,,,,,,1,,,,,,,,,,,,,2,8.555,9.163,17.893,2,1,,,,,,1,,,,,,,,,,,,,,,1,8.058,8.058,10.012,1,1,1,,,,,,,,,,,,,,,,,,,,1,18.357,19.037,20.112,2,1,,,,,,,,,,,,,,,,1,,,,,2,14.16,19.079,20.501,6,,23,1,5,,4,8,Scenario 6|Scenario 4|Scenario 5|Scenario 3|Scenario 1|Scenario 2,scenario1|item016|force1|time1,scenario2|item048|force2|time2,scenario3|item056|force3|time3,scenario4|item078|force4|time4,scenario5|item097|force5|time5,scenario6|item140|force6|time6,41.65640259,-83.50830078,-1
R_3IZg7VblS5QjGY3,Default Response Set,Anonymous,,,71.83.46.37,0,7/23/2016 14:30,7/23/2016 14:33,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,5,20.815,20.815,21.631,1,1,1,,,,,,,,,,,,,,,,,,,,4,23.738,23.738,24.654,1,1,,,,,,,,,1,,,,,,,,,,,,4,19.632,19.632,20.409,1,1,,,,,,,,,,,,,,1,,,,,,,4,23.587,23.587,24.976,1,1,,,,,,,,,,,,,,,,,1,,,,3,20.515,20.515,21.521,1,1,,,,1,,,,,,,,,,,,,,,,,2,27.036,27.036,27.956,1,,39,1,5,,5,6,Scenario 1|Scenario 5|Scenario 4|Scenario 2|Scenario 6|Scenario 3,scenario1|item016|force1|time1,scenario2|item025|force2|time2,scenario3|item061|force3|time3,scenario4|item090|force4|time4,scenario5|item117|force5|time5,scenario6|item124|force6|time6,44.62710571,-90.19809723,-1
R_1pKXz2aAEP2nqpw,Default Response Set,Anonymous,,,67.245.34.116,0,7/23/2016 14:30,7/23/2016 14:33,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,4,26.514,26.514,27.275,1,1,,,,,,1,,,,,,,,,,,,,,,1,21.942,23.356,24.578,2,1,,,1,,,,,,,,,,,,,,,,,,3,27.117,27.117,28.286,1,1,,,,,,,,,,,,,,,,1,,,,,2,19.211,19.211,20.412,1,1,,,,,,,,,,,,,,,,,,,,1,4,22.648,22.648,23.621,1,1,,,,,,,,,1,,,,,,,,,,,,3,24.882,24.882,26.423,1,,31,1,2,,4,5,Scenario 2|Scenario 5|Scenario 1|Scenario 4|Scenario 3|Scenario 6,scenario1|item019|force1|time1,scenario2|item030|force2|time2,scenario3|item051|force3|time3,scenario4|item092|force4|time4,scenario5|item120|force5|time5,scenario6|item133|force6|time6,40.75169373,-73.8832016,-1
R_1F8tWDRJbRBBC6J,Default Response Set,Anonymous,,,73.75.120.111,0,7/23/2016 14:29,7/23/2016 14:33,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,4,31.427,34.295,34.852,2,1,,,,,,,,1,,,,,,,,,,,,,1,31.511,31.511,33.483,1,1,,,,,,,,,,,,1,,,,,,,,,1,26.398,30.314,31.45,4,1,,,,,,,,1,,,,,,,,,,,,,1,48.012,49.583,52.001,2,1,,,,,,,,,,,,,,,,,,,,1,1,4.648,5.218,8.886,2,1,,,,,,,,1,,,,,,,,,,,,,3,31.595,31.595,32.875,1,,39,1,5,,5,6,Scenario 2|Scenario 4|Scenario 1|Scenario 6|Scenario 3|Scenario 5,scenario1|item024|force1|time1,scenario2|item032|force2|time2,scenario3|item064|force3|time3,scenario4|item080|force4|time4,scenario5|item120|force5|time5,scenario6|item128|force6|time6,42.28430176,-89.01249695,-1
R_2U4oY04aZ8SZp2L,Default Response Set,Anonymous,,,66.87.87.152,0,7/23/2016 14:29,7/23/2016 14:33,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,30.435,30.435,31.734,1,1,,,,,,,,,,,1,,,,,,,,,,4,34.973,34.973,41.812,1,1,1,,,,,,,,,,,,,,,,,,,,2,30.145,31.183,33.111,2,1,,,,,,1,,,,,,,,,,,,,,,1,27.114,28.137,29.367,2,1,,,1,,,,,,,,,,,,,,,,,,2,26.823,26.823,28.233,1,1,,,,,,,1,,,,,,,,,,,,,,1,24.886,24.886,26.923,1,,37,2,1,,6,4,Scenario 6|Scenario 3|Scenario 2|Scenario 5|Scenario 1|Scenario 4,scenario1|item002|force1|time1,scenario2|item039|force2|time2,scenario3|item049|force3|time3,scenario4|item078|force4|time4,scenario5|item099|force5|time5,scenario6|item127|force6|time6,40.69250488,-74.07039642,-1
R_1IbLN4KMjOQot7S,Default Response Set,Anonymous,,,76.185.132.83,0,7/23/2016 14:33,7/23/2016 14:33,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,4,6.236,6.236,7.743,1,1,,,,,,,,,,,,,,,,1,,,,,2,0.933,0.933,1.712,1,1,1,,,,,,,,,,,,,,,,,,,,4,4.419,4.419,5.509,1,1,,,,1,,,,,,,,,,,,,,,,,3,4.656,5.537,6.5,3,1,,,,,,1,,,,,,,,,,,,,,,3,1.224,1.224,1.963,1,1,,,,,,,,,,,,,,,,,,1,,,4,1.065,1.898,2.307,2,,25,1,3,,4,9,Scenario 1|Scenario 4|Scenario 3|Scenario 5|Scenario 6|Scenario 2,scenario1|item004|force1|time1,scenario2|item044|force2|time2,scenario3|item049|force3|time3,scenario4|item076|force4|time4,scenario5|item102|force5|time5,scenario6|item142|force6|time6,29.522995,-98.52700043,-1
R_1kN97hh2OWnJrx4,Default Response Set,Anonymous,,,173.217.96.226,0,7/23/2016 14:30,7/23/2016 14:33,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,5,22.635,23.746,24.519,3,1,,1,,,,,,,,,,,,,,,,,,,3,32.863,34.507,35.005,3,1,,,,,,,,,,,,,,,,1,,,,,5,20.613,20.613,21.503,1,1,,,1,,,,,,,,,,,,,,,,,,1,24.898,24.898,33.254,1,1,,,1,,,,,,,,,,,,,,,,,,5,15.223,16.215,16.811,2,1,,,1,,,,,,,,,,,,,,,,,,1,21.129,24.818,25.649,4,,53,2,5,,5,8,Scenario 4|Scenario 1|Scenario 2|Scenario 3|Scenario 6|Scenario 5,scenario1|item021|force1|time1,scenario2|item026|force2|time2,scenario3|item068|force3|time3,scenario4|item075|force4|time4,scenario5|item099|force5|time5,scenario6|item123|force6|time6,30.13459778,-93.27300262,-1
R_3KCn64TWeWYkSTZ,Default Response Set,Anonymous,,,50.143.176.107,0,7/23/2016 14:30,7/23/2016 14:34,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,1,23.11,24.486,26.131,3,1,,,,,,,,,,,,,,,,,1,,,,1,17.822,18.175,18.972,2,1,,,,,,,,,,1,,,,,,,,,,,5,15.135,15.135,15.843,1,1,,,,,,,,,,,,,,,,,1,,,,1,19.164,20.548,21.529,3,1,,,,,,,,,,,,1,,,,,,,,,5,22.061,22.061,27.314,1,1,,,,,,,,,1,,,,,,,,,,,,1,59.679,63.398,64.243,4,,28,2,5,,3,7,Scenario 1|Scenario 6|Scenario 5|Scenario 3|Scenario 2|Scenario 4,scenario1|item008|force1|time1,scenario2|item045|force2|time2,scenario3|item062|force3|time3,scenario4|item093|force4|time4,scenario5|item112|force5|time5,scenario6|item133|force6|time6,37.8309021,-122.2196045,-1
R_1exTX4JuzSjuMCE,Default Response Set,Anonymous,,,174.100.232.213,0,7/23/2016 14:29,7/23/2016 14:34,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,1,44.714,44.714,47.207,1,1,,,,,,,,1,,,,,,,,,,,,,1,22.803,22.803,24.902,1,1,,,,,,1,,,,,,,,,,,,,,,1,31.401,33.409,34.654,2,1,,,,,,,,,,,,,,,,,,,1,,1,28.43,28.43,30.278,1,1,,,,,,,,,,1,,,,,,,,,,,1,31.211,31.211,32.167,1,1,,,,,,,,,,1,,,,,,,,,,,1,33.956,33.956,35.666,1,,65,2,5,,5,7,Scenario 3|Scenario 5|Scenario 4|Scenario 2|Scenario 6|Scenario 1,scenario1|item007|force1|time1,scenario2|item032|force2|time2,scenario3|item054|force3|time3,scenario4|item095|force4|time4,scenario5|item110|force5|time5,scenario6|item134|force6|time6,42.11529541,-80.1292038,-1
R_1IW5PaDhrBPXWhI,Default Response Set,Anonymous,,,71.74.24.243,0,7/23/2016 14:31,7/23/2016 14:34,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,4,7.767,14.852,16.339,3,1,,,,,,,,,,,,,,1,,,,,,,4,16.47,20.175,22.294,3,1,,,,,,,,,,,,,,,,,1,,,,4,15.402,19.622,20.909,3,1,,1,,,,,,,,,,,,,,,,,,,1,12.005,13.459,14.518,2,1,,,,,,,1,,,,,,,,,,,,,,1,3.722,9.505,11.611,5,1,,,,,,,,,,,,,,,,1,,,,,2,7.519,10.052,11.425,3,,33,2,5,,4,7,Scenario 2|Scenario 5|Scenario 1|Scenario 6|Scenario 3|Scenario 4,scenario1|item020|force1|time1,scenario2|item042|force2|time2,scenario3|item069|force3|time3,scenario4|item074|force4|time4,scenario5|item103|force5|time5,scenario6|item140|force6|time6,34.22050476,-77.87020111,-1
R_1QH0XBOKAwwRIN2,Default Response Set,Anonymous,,,97.76.125.100,0,7/23/2016 14:30,7/23/2016 14:34,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,5,18.923,20.108,20.775,2,1,,,,,,,,,,,,,,,,,,1,,,5,23.322,24.312,25.267,2,1,,,,,,,,,,,,,,,,,,,1,,1,20.059,21.542,22.468,2,1,,,,,,,,,1,,,,,,,,,,,,1,16.589,18.5,19.373,3,1,,,,,,1,,,,,,,,,,,,,,,5,17.977,19.226,19.927,2,1,,,,,,,,,,,,,,1,,,,,,,5,23.676,46.875,47.637,7,,42,2,5,,5,8,Scenario 5|Scenario 2|Scenario 6|Scenario 3|Scenario 4|Scenario 1,scenario1|item023|force1|time1,scenario2|item046|force2|time2,scenario3|item071|force3|time3,scenario4|item085|force4|time4,scenario5|item102|force5|time5,scenario6|item138|force6|time6,27.94439697,-82.41899872,-1
R_3rYhw9LdLifm9Vx,Default Response Set,Anonymous,,,69.204.83.61,0,7/23/2016 14:31,7/23/2016 14:34,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,4,1.806,17.623,18.17,4,1,,1,,,,,,,,,,,,,,,,,,,4,25.891,25.891,26.498,1,1,,,,,,,,,,,,,1,,,,,,,,4,10.652,10.652,11.915,1,1,,,,,,,,,,,,,,,,,,1,,,5,19.541,20.015,21.013,2,1,,,,,,,,,,,,,,,,,,,1,,4,12.265,12.265,13.128,1,1,,,,,,,,,,,,,,,,,,,1,,2,20.797,21.745,22.815,2,,21,1,5,,4,6,Scenario 2|Scenario 6|Scenario 1|Scenario 3|Scenario 4|Scenario 5,scenario1|item014|force1|time1,scenario2|item026|force2|time2,scenario3|item065|force3|time3,scenario4|item094|force4|time4,scenario5|item119|force5|time5,scenario6|item143|force6|time6,42.93940735,-78.84380341,-1
