ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instr,scenario1,item001,item002,item003,item004,item005,item006,item007,item008,item013,item014,item015,item016,item017,item018,item019,item020,item021,item022,item023,item024,time1_1,time1_2,time1_3,time1_4,scenario2,item025,item026,item027,item028,item029,item030,item031,item032,item037,item038,item039,item040,item041,item042,item043,item044,item045,item046,item047,item048,time2_1,time2_2,time2_3,time2_4,scenario3,item049,item050,item051,item052,item053,item054,item055,item056,item061,item062,item063,item064,item065,item066,item067,item068,item069,item070,item071,item072,time3_1,time3_2,time3_3,time3_4,scenario4,item073,item074,item075,item076,item077,item078,item079,item080,item085,item086,item087,item088,item089,item090,item091,item092,item093,item094,item095,item096,time4_1,time4_2,time4_3,time4_4,scenario5,item097,item098,item099,item100,item101,item102,item103,item104,item109,item110,item111,item112,item113,item114,item115,item116,item117,item118,item119,item120,time5_1,time5_2,time5_3,time5_4,scenario6,item121,item122,item123,item124,item125,item126,item127,item128,item133,item134,item135,item136,item137,item138,item139,item140,item141,item142,item143,item144,time6_1,time6_2,time6_3,time6_4,demo,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_11,DO-BL-Scenario1,DO-BL-Scenario2,DO-BL-Scenario3,DO-BL-Scenario4,DO-BL-Scenario5,DO-BL-Scenario6,LocationLatitude,LocationLongitude,LocationAccuracy
R_vdarVUutK4DBwFr,Default Response Set,Anonymous,,,24.180.186.102,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,,,,,,,,,15,,,,,,,,,,,23.297,23.297,24.337,1,1,,,,,,,,,,,,,,,,,,,,15,27.9,27.9,28.978,1,1,,,,,,,,,,,,,,,,,,15,,,25.468,25.997,26.925,2,1,,,,,,,,,,,,,,17,,,,,,,21.096,29.93,30.878,4,1,,,,,,,,,,15,,,,,,,,,,,23.304,24.047,25.12,2,1,,,,,,,,,,,,,,,,,,15,,,3.658,35.757,37.36,4,,30,2,5,,5,8,Scenario 6|Scenario 5|Scenario 1|Scenario 2|Scenario 3|Scenario 4,scenario1|item014|time1,scenario2|item048|time2,scenario3|item070|time3,scenario4|item090|time4,scenario5|item110|time5,scenario6|item142|time6,43.04429626,-83.51920319,-1
R_3EbB2jRLkMn4d3C,Default Response Set,Anonymous,,,70.179.131.252,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,,,,,,,,,,,,,,19,,,,,,19.503,19.503,20.932,1,1,,,,,18,,,,,,,,,,,,,,,,21.7,21.7,23.408,1,1,,,,,,,,,,,,,,,,,,,,15,24.818,24.818,26.443,1,1,,,,,,,,,,,,,,,,18,,,,,26.152,26.152,27.957,1,1,,,,,,,,,,,,,,,19,,,,,,20.384,20.384,21.209,1,1,,,,,,,,,,,,,,,,,,,15,,24.135,25.799,27.219,2,,45,2,5,,5,7,Scenario 4|Scenario 5|Scenario 2|Scenario 6|Scenario 3|Scenario 1,scenario1|item019|time1,scenario2|item029|time2,scenario3|item072|time3,scenario4|item092|time4,scenario5|item115|time5,scenario6|item143|time6,39.10229492,-96.52459717,-1
R_2sUbYPOQUJDbpHX,Default Response Set,Anonymous,,,68.132.29.38,0,1/13/2017 10:12,1/13/2017 10:14,1,1,1,1,,,,,,,,,,,,,,17,,,,,,,2.497,19.852,20.521,3,1,,,,,,,,,,,17,,,,,,,,,,1.224,14.277,15.043,5,1,,,,,,,,,,,,,,,,,,,,15,25.017,25.782,26.572,3,1,,,,,,,18,,,,,,,,,,,,,,14.62,14.855,15.393,2,1,,,,,,,,,,,,,,,,,,16,,,7.22,19.464,21.598,3,1,,16,,,,,,,,,,,,,,,,,,,2.785,2.785,3.385,1,,28,1,3,,6,5,Scenario 3|Scenario 5|Scenario 4|Scenario 1|Scenario 6|Scenario 2,scenario1|item018|time1,scenario2|item039|time2,scenario3|item072|time3,scenario4|item079|time4,scenario5|item118|time5,scenario6|item122|time6,40.54530334,-74.1785965,-1
R_2ZTxkBpsoeg99Pj,Default Response Set,Anonymous,,,73.60.84.246,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,,,,,,,,,16,,,,,,,,,,,15.663,19.384,22.66,3,1,,,,,,,,,,,,,,18,,,,,,,20,20,28.132,1,1,,,,,,,,,16,,,,,,,,,,,,14.714,14.714,15.921,1,1,,,,,,,,,,,,,,,,,,,,15,17.716,17.716,29.281,1,1,,,,,15,,,,,,,,,,,,,,,,14.075,15.074,21.063,2,1,,,,,,,,,,,,,,,,,,,,15,22.048,30.624,41.341,2,,27,1,5,,4,7,Scenario 6|Scenario 2|Scenario 4|Scenario 1|Scenario 5|Scenario 3,scenario1|item014|time1,scenario2|item042|time2,scenario3|item061|time3,scenario4|item096|time4,scenario5|item101|time5,scenario6|item144|time6,42.99560547,-71.45480347,-1
R_yEgtN2MIQQ2eBLH,Default Response Set,Anonymous,,,75.139.11.202,0,1/13/2017 10:12,1/13/2017 10:14,1,1,1,1,,,,,,,,,,,,,,19,,,,,,,16.718,16.718,17.386,1,1,,,,15,,,,,,,,,,,,,,,,,23.269,25.415,26.184,6,1,,,,,,,,,,,15,,,,,,,,,,12.292,12.292,14.343,1,1,,,,,,15,,,,,,,,,,,,,,,15.195,16.058,17.197,2,1,,,,,,,,,,,,,,,,,,,15,,14.361,14.361,15.964,1,1,,,,,,,,,,,,,,,,,16,,,,18.29,19.037,20.541,2,,32,2,5,,5,7,Scenario 2|Scenario 4|Scenario 6|Scenario 5|Scenario 1|Scenario 3,scenario1|item018|time1,scenario2|item028|time2,scenario3|item063|time3,scenario4|item078|time4,scenario5|item119|time5,scenario6|item141|time6,36.54060364,-82.17569733,-1
R_2Vxc5pp7oLQ0gGA,Default Response Set,Anonymous,,,98.245.24.103,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,,,,,,,,16,,,,,,,,,,,,12.596,12.596,15.363,1,1,,,,,,,,,,,,,,,,16,,,,,14.533,14.533,19.448,1,1,,,,,,,,,,16,,,,,,,,,,,11.65,11.65,12.846,1,1,,,,,,,,,,,,,,,,,,,17,,10.287,17.393,19.193,6,1,16,,,,,,,,,,,,,,,,,,,,11.928,11.928,13.378,1,1,,,,,,17,,,,,,,,,,,,,,,13.765,13.765,15.997,1,,27,2,5,,4,7,Scenario 2|Scenario 1|Scenario 5|Scenario 3|Scenario 6|Scenario 4,scenario1|item013|time1,scenario2|item044|time2,scenario3|item062|time3,scenario4|item095|time4,scenario5|item097|time5,scenario6|item126|time6,39.81309509,-105.1257019,-1
R_1k0xApsluPiYgZU,Default Response Set,Anonymous,,,72.28.22.99,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,,,,16,,,,,,,,,,,,,23.84,23.84,24.955,1,1,,,,,,,,,,,,,,,15,,,,,,14.257,16.737,18.041,3,1,,,,,,,,,,,,15,,,,,,,,,20.575,20.575,24.736,1,1,,,,,,,,,,,15,,,,,,,,,,17.642,17.642,21.574,1,1,,,,,,,,,,,,16,,,,,,,,,29.708,29.708,30.801,1,1,,,16,,,,,,,,,,,,,,,,,,21.303,21.303,23.352,1,,31,2,5,,5,6,Scenario 5|Scenario 3|Scenario 4|Scenario 1|Scenario 6|Scenario 2,scenario1|item008|time1,scenario2|item043|time2,scenario3|item064|time3,scenario4|item087|time4,scenario5|item112|time5,scenario6|item123|time6,41.43490601,-75.41239929,-1
R_1pLmeBXiolXwBS3,Default Response Set,Anonymous,,,69.41.96.50,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,,,,,,,,,,,,,,15,,,18.191,19.605,21.244,2,1,,,,,,,,,,,,,,,,,,15,,,18.955,18.955,20.029,1,1,,,,16,,,,,,,,,,,,,,,,,29.628,29.628,31.213,1,1,,,,,,,,17,,,,,,,,,,,,,17.044,18.092,18.675,2,1,,,,,,,,,15,,,,,,,,,,,,18.571,18.571,19.492,1,1,,,,,,,,,,,,,16,,,,,,,,25.111,25.111,25.87,1,,34,1,5,,6,5,Scenario 3|Scenario 1|Scenario 4|Scenario 2|Scenario 6|Scenario 5,scenario1|item022|time1,scenario2|item046|time2,scenario3|item052|time3,scenario4|item080|time4,scenario5|item109|time5,scenario6|item137|time6,32.08349609,-81.09980011,-1
R_6Wn6FrEy8MYWJjj,Default Response Set,Anonymous,,,72.78.9.235,0,1/13/2017 10:11,1/13/2017 10:15,1,1,1,1,,,,,,,,15,,,,,,,,,,,,,35.497,37.305,38.95,4,1,,,,,,15,,,,,,,,,,,,,,,11.737,11.737,13.366,1,1,,,,,,,,,,,,,,,,,,,15,,20.565,22.054,22.463,3,1,,,,,,15,,,,,,,,,,,,,,,8.943,8.943,14.043,1,1,,,,,,,15,,,,,,,,,,,,,,15.921,16.239,17.284,2,1,,,,,,,,,,,,15,,,,,,,,,10.818,10.818,12.574,1,,35,2,2,,4,8,Scenario 1|Scenario 5|Scenario 3|Scenario 2|Scenario 4|Scenario 6,scenario1|item008|time1,scenario2|item030|time2,scenario3|item071|time3,scenario4|item078|time4,scenario5|item103|time5,scenario6|item136|time6,40.65629578,-75.4661026,-1
R_264ntH1amO094iB,Default Response Set,Anonymous,,,24.165.155.59,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,,,,,,,,,18,,,,,,,,8.699,11.037,11.582,2,1,,,,,,,,,15,,,,,,,,,,,,33.339,33.339,34.032,1,1,,,15,,,,,,,,,,,,,,,,,,17.05,17.05,18.503,1,1,,,,,18,,,,,,,,,,,,,,,,2.246,2.246,2.694,1,1,,,,,,,,,,16,,,,,,,,,,,1.445,1.445,2.024,1,1,,,,,,,,,,,,,,,17,,,,,,17.825,18.376,18.904,2,,34,2,5,,6,4,Scenario 2|Scenario 3|Scenario 6|Scenario 1|Scenario 4|Scenario 5,scenario1|item017|time1,scenario2|item037|time2,scenario3|item051|time3,scenario4|item077|time4,scenario5|item110|time5,scenario6|item139|time6,42.10670471,-80.10790253,-1
R_DAcTSudr1pOvFVn,Default Response Set,Anonymous,,,184.91.36.182,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,15,,,,,,,,,,,,,,,,,,,,24.795,24.795,25.788,1,1,,,,,,,,,15,,,,,,,,,,,,22.746,22.746,24.052,1,1,,,,,,,,,,,,,,,,,,15,,,20.768,20.768,22.472,1,1,,,,,,,16,,,,,,,,,,,,,,24.3,24.3,25.227,1,1,,,,,,,,,,,15,,,,,,,,,,20.193,20.193,21.72,1,1,,,,,,,,,,,,,,,,15,,,,,21.011,21.011,22.684,1,,64,1,5,,6,6,Scenario 4|Scenario 2|Scenario 1|Scenario 6|Scenario 3|Scenario 5,scenario1|item001|time1,scenario2|item037|time2,scenario3|item070|time3,scenario4|item079|time4,scenario5|item111|time5,scenario6|item140|time6,29.30050659,-81.19480133,-1
R_2OHo4sk4EuO1dV6,Default Response Set,Anonymous,,,71.61.13.105,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,,15,,,,,,,,,,,,,,,21.434,21.434,22.657,1,1,,,,,,,,,,,16,,,,,,,,,,20.313,24.563,25.5,3,1,,,,,,,,,15,,,,,,,,,,,,21.343,21.663,22.711,2,1,,,,,,,,15,,,,,,,,,,,,,31.088,31.088,32.123,1,1,,,,,,,,,,,,,,,,,15,,,,25.27,25.655,27.186,2,1,,,,,,,,,17,,,,,,,,,,,,21.094,21.094,22.226,1,,21,1,5,,4,5,Scenario 2|Scenario 3|Scenario 6|Scenario 5|Scenario 4|Scenario 1,scenario1|item006|time1,scenario2|item039|time2,scenario3|item061|time3,scenario4|item080|time4,scenario5|item117|time5,scenario6|item133|time6,40.36090088,-79.90149689,-1
R_3JJaJymfVkQgoWl,Default Response Set,Anonymous,,,97.118.245.93,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,,,,,,,,,,,,,,,,15,17.385,17.385,18.583,1,1,,,,,,,,,,15,,,,,,,,,,,26.808,26.808,27.893,1,1,,,,,,,,,,,,,,,,,,16,,,27.282,28.826,30.348,2,1,,,,,,,,,,,,,,18,,,,,,,21.573,21.573,23.037,1,1,,,,16,,,,,,,,,,,,,,,,,26.628,26.628,27.841,1,1,,,,,,,,,,,,,,,,,,,15,,25.167,25.167,26.23,1,,65,2,5,,3,4,Scenario 5|Scenario 2|Scenario 3|Scenario 1|Scenario 4|Scenario 6,scenario1|item024|time1,scenario2|item038|time2,scenario3|item070|time3,scenario4|item090|time4,scenario5|item100|time5,scenario6|item143|time6,39.67170715,-104.9271011,-1
R_2pXMoi5wft2YnLF,Default Response Set,Anonymous,,,136.167.102.233,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,15,,,,,,,,,,,,,,,,,33.403,35.339,35.682,4,1,,,,,,,,16,,,,,,,,,,,,,30.836,32.108,32.98,4,1,,15,,,,,,,,,,,,,,,,,,,15.445,15.445,16.567,1,1,,,,,,,,,,,,15,,,,,,,,,16.362,16.362,17.433,1,1,,,,,,,,,,,,,,17,,,,,,,21.604,21.604,22.428,1,1,,,,,,,,,,,,,,,,,16,,,,20.501,20.501,21.66,1,,34,1,5,,5,5,Scenario 6|Scenario 4|Scenario 5|Scenario 2|Scenario 3|Scenario 1,scenario1|item004|time1,scenario2|item032|time2,scenario3|item050|time3,scenario4|item088|time4,scenario5|item114|time5,scenario6|item141|time6,42.31889343,-71.15039825,-1
R_2q8G6XXWID626R2,Default Response Set,Anonymous,,,72.196.7.7,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,,,,,,,15,,,,,,,,,,24.599,24.599,26.215,1,1,,,,,,,,,,,,,,,,,15,,,,19.804,21.244,22.604,3,1,,,,,,,,,,,,,15,,,,,,,,26.332,42.109,42.952,2,1,15,,,,,,,,,,,,,,,,,,,,1.902,23.03,23.911,3,1,,,,,,,17,,,,,,,,,,,,,,15.374,15.374,16.329,1,1,,,,,,,,19,,,,,,,,,,,,,22.564,41.548,42.164,2,,45,1,6,,5,5,Scenario 2|Scenario 3|Scenario 4|Scenario 6|Scenario 5|Scenario 1,scenario1|item015|time1,scenario2|item045|time2,scenario3|item065|time3,scenario4|item073|time4,scenario5|item103|time5,scenario6|item128|time6,41.20610046,-96.04509735,-1
R_2yl6Gr5CHR9CEhX,Default Response Set,Anonymous,,,12.21.185.130,0,1/13/2017 10:14,1/13/2017 10:15,1,1,1,1,,,,,,,,,,,,,,,,,,,16,,1.771,5.067,5.368,6,1,,,,,,,,,,,,,,,,,,,,18,1.304,1.889,2.373,2,1,,,,,,,,,,,,,,,,,,,,16,4.226,7.498,8.694,5,1,,,,17,,,,,,,,,,,,,,,,,1.725,1.725,2.563,1,1,,,,,,,,,,,,,,,17,,,,,,1.249,1.529,2.047,2,1,,,,,,16,,,,,,,,,,,,,,,1.224,1.224,1.944,1,,29,1,5,,6,4,Scenario 3|Scenario 5|Scenario 6|Scenario 2|Scenario 4|Scenario 1,scenario1|item023|time1,scenario2|item048|time2,scenario3|item072|time3,scenario4|item076|time4,scenario5|item115|time5,scenario6|item126|time6,42.74420166,-78.74420166,-1
R_3oHZ8QAKA9dXeZu,Default Response Set,Anonymous,,,98.219.104.80,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,,,,,,,,,,,,,,,,16,4.86,16.117,16.969,4,1,,,,,,,,,,,,16,,,,,,,,,3.94,13.279,14.102,2,1,,,,,,,,17,,,,,,,,,,,,,4.184,25.873,29.171,3,1,,,,,,,,,,,,,,,18,,,,,,2.659,16.267,19.038,3,1,,,,,,,,,16,,,,,,,,,,,,4.048,29.513,30.93,3,1,,,,,,,,,,,,17,,,,,,,,,7.191,27.369,28.477,4,,28,1,5,,5,8,Scenario 3|Scenario 5|Scenario 4|Scenario 6|Scenario 2|Scenario 1,scenario1|item024|time1,scenario2|item040|time2,scenario3|item056|time3,scenario4|item091|time4,scenario5|item109|time5,scenario6|item136|time6,27.13409424,-82.25009918,-1
R_b3Jx1jI21Maywx3,Default Response Set,Anonymous,,,96.47.93.53,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,,,,,,16,,,,,,,,,,,9.337,10.885,11.639,2,1,,,,,,,,,,,,,,,,16,,,,,22.766,22.766,23.628,1,1,,,,,,,16,,,,,,,,,,,,,,9.853,10.875,11.588,2,1,,,,,,,,,16,,,,,,,,,,,,26.075,26.075,26.787,1,1,,,,,,,,,,,,,,16,,,,,,,2.589,2.589,15.278,1,1,,,,,,,,,,,,,,,,,,16,,,23.189,24.343,25.281,2,,39,2,5,,4,6,Scenario 4|Scenario 6|Scenario 2|Scenario 3|Scenario 1|Scenario 5,scenario1|item014|time1,scenario2|item044|time2,scenario3|item055|time3,scenario4|item085|time4,scenario5|item114|time5,scenario6|item142|time6,31.46270752,-85.62670135,-1
R_paYMyPPR8Y37jFv,Default Response Set,Anonymous,,,141.214.17.252,0,1/13/2017 10:12,1/13/2017 10:15,1,1,1,1,,,,,15,,,,,,,,,,,,,,,,11.864,12.368,13.13,2,1,,,,,,,15,,,,,,,,,,,,,,14.907,15.523,16.37,3,1,,,,,16,,,,,,,,,,,,,,,,11.947,11.947,12.617,1,1,,,,15,,,,,,,,,,,,,,,,,11.769,13.122,13.479,3,1,,,,,,,,15,,,,,,,,,,,,,30.172,31.676,32.447,3,1,15,,,,,,,,,,,,,,,,,,,,13.593,13.962,14.927,2,,25,2,5,,6,7,Scenario 5|Scenario 2|Scenario 1|Scenario 3|Scenario 6|Scenario 4,scenario1|item005|time1,scenario2|item031|time2,scenario3|item053|time3,scenario4|item076|time4,scenario5|item104|time5,scenario6|item121|time6,42.32409668,-83.71130371,-1
