scenario_id_fr,text,coded1,coded2,coded final
2_71_2,Wait for someone to repair the car,2,13,2
2_72_2,Try to flag someone down for a ride,3,11,3
2_73_2,Call a rideshare (and a towtruck),1,3,1
2_82_2,call a shuttle,1,12,1
2_85_2,flag down another motorist.,3,11,3
2_95_2,call a ride sharing service,1,3,1
2_104_2,Call for help,14,4,14
2_10_3,Call roadside assistance,8,14,14
2_11_3,"Call the flight company, explain the situation and ask for the next flight",7,10,7
2_13_3,Check if the flight is running late.,0,7,0
2_35_3,Show up late and hope for the best,0,15,15
2_37_3,Call help,14,4,14
2_64_3,panic,0,15,0
2_70_3,call for ridesharing through the phone or app,1,3,1
2_82_3,try to get a ride with a stranger,3,11,3
2_90_3,wait for help ,0,15,0
2_15_4,ask someone else for a ride to the airport,0,3,3
2_37_4,Wait,0,15,0
2_38_4,Accept he is not going to make his flight and take care of his car first.,5,5,5
2_51_4,Just leave the car there and let the police tow it...and hitchhike to the airport.,3,16,16
2_63_4,leave the car and walk to the airport,6,16,16
2_79_4,Get really frustrated in his car,0,15,0
2_86_4,He can stay in his car and see if anybody stops to help him.,0,15,15
2_90_4,abandon his car and hitch a ride,3,16,3
2_95_4,hitchhike,2,3,3
2_100_4,Call the airport to change his ticket,7,10,7
2_104_4,Dream really hard,0,15,0
2_4_5,Leave the car and walk to the airport,16,6,6
2_7_5,Josh can call roadside assistance if he has it,8,2,2
2_13_5,Rethink how important it is to kill wild animals in Africa.,0,15,0
2_15_5,forfeit it all as lost,0,5,5
2_24_5,pay someone to take you ,0,11,11
2_26_5,ask some one to help him get to the airport,13,11,11
2_27_5,use a ridesharing app,1,3,1
2_36_5,Wait for help,0,15,0
2_38_5,Get his car towed and cancel the flight.,2,5,5
2_45_5,sleep,0,15,0
2_61_5,He tried catch the lift ,0,1,1
2_64_5,flag down a stranger to take him home,0,11,11
2_65_5,See if he can move the flight back,10,7,7
2_70_5,don't worry about and just try to get there when he get there,0,15,0
2_74_5,Josh calls the airline to see if he can exchange his flight to a different time or day.,7,10,7
2_78_5,cry,0,15,0
2_79_5,Call a towing company and ask them to give him a lift,0,3,2
2_85_5,cry.,0,15,0
2_90_5,abandon his car and call for a ride,1,16,16
2_97_5,delay the trip for a dew weeks ,5,7,7
2_101_5,pray and hope for miracle,0,15,0
2_104_5,Give up,0,5,5
3_11_1,Ask the employers,4,2,4
3_13_1,Double check the books for errors.,0,9,9
3_18_1,Brian can go through the receipts and try to find the source of the error.,9,8,9
3_42_1,continue working alone till he found the money discrepancy,9,11,9
3_61_1,Will explain the situation,12,2,2
3_75_1,Ask if someone made an overring,4,12,4
3_88_1,Recall,0,9,9
3_2_2,take money out of the tip jar,0,14,14
3_9_2,Tell the manager that it's his fault and not to punish everyone else,0,2,2
3_11_2,Make everybody work over time,12,11,12
3_23_2,Find out who is responsible and make them pay.,0,4,4
3_30_2,ask his friends to add money,0,5,5
3_46_2,Brian could take the money out of his staff's pay.,0,5,5
3_50_2,He could tell his boss to take it from his check,1,2,1
3_61_2,He need help to the colleague,0,4,4
3_65_2,Lie and say it was someone else fault,10,3,10
3_68_2,Let it be unbalanced ,6,3,6
3_79_2,Confront his staff to see if someone stole it,4,5,4
3_85_2,ask the staff about the missing money.,4,5,4
3_86_2,He can hide and see if anybody noticed.,0,3,3
3_88_2,Identify,0,13,0
3_91_2,realizes that $50.75 is missing from the register,0,6,0
3_94_2,accuse the least trusted person at work of theft,10,9,10
3_97_2,Create a flex money drawer with leftover money or surplus money should go in the future,0,14,0
3_99_2,He could look through all the receipts to see if there is a transaction error,13,9,13
3_102_2,He could gather his team to discuss the matter.,0,4,4
3_6_3,Void sales to balance,0,3,0
3_11_3,"Ask the employers, tell them if nobody comes forward everybody has to do overtime",4,12,12
3_14_3,ask the manager if he could for go the overtime for staff,11,12,11
3_19_3,Review the receipts to try and determine what happened.,13,9,9
3_20_3,change the receipts to show the register is correct,3,9,3
3_27_3,tell someone about the situation,0,2,2
3_42_3,let everyone continue to find the discrepancy,0,13,0
3_47_3,Have a meeting,0,4,4
3_50_3,He could tell his boss that someone stole it,10,2,10
3_60_3,search for the money,13,13,13
3_64_3,fire the employee working the register,0,10,10
3_67_3,redo calculations,0,9,9
3_68_3,Tell someone,0,2,2
3_74_3,Ask his co-workers for help in the situation.,5,4,4
3_75_3,Check to see if the missing money is in the form of a check,0,9,9
3_82_3,ask a coworker to recount the drawer for him.  ,0,9,9
3_83_3,"Check under the till for large bills that may have been changed but not counted correctly, maybe there's a $50 bill there...",13,9,13
3_85_3,lie to the manager.,3,3,3
3_86_3,He can tell his friend and ask him to tell his boss.,0,2,2
3_90_3,tell the manager that they were robbed,3,2,3
3_91_3,This module will explain the basics of the balance sheet,0,9,0
3_97_3,Report the money as a deficit and let the company cover the bill,0,2,0
3_1_4,Try and sell more.,0,11,11
3_6_4,Call staff find out who stole it.,4,13,4
3_10_4,Hide the mistake somehow,3,1,3
3_12_4,he should try to balance the missing money,0,1,1
3_26_4,search the employees,13,4,4
3_30_4,pretend he thought all the money was there,3,6,6
3_33_4,Look through receipts to determine why the money is missing. ,13,9,9
3_36_4,Check the logs of sales,13,9,9
3_39_4,Say that he forgot to place the money of a customer into the register.,3,2,3
3_40_4,take it out someones check,0,14,14
3_46_4,Brian could get his staff arrested for theft.,0,10,10
3_48_4,leave work,6,7,6
3_52_4,just put it in the safe the way it is,6,1,6
3_53_4,Recheck the receipts to see if a mistake was made.,13,9,9
3_56_4,Go thru all the receipts and maybe try to figure out if there's a legit short somewhere.,13,9,9
3_60_4,have a meeting with the staff,0,4,4
3_61_4,Or reduce his salary,0,1,1
3_79_4,Try to plead with the manager to not make the staff work overtime,0,2,2
3_82_4,Ask his boss to recount the money.,2,9,9
3_84_4,hide the mistake,3,1,3
3_87_4,Brian will check the receipts.,13,9,9
3_88_4,Analysis,0,13,0
3_90_4,go home saying he is sick,7,6,6
3_92_4,find out who took the money,0,13,13
3_94_4,just leave it as is and let people work overtime,6,12,12
3_97_4,Implement a new method for counting money and verifying the amount twice,0,9,9
3_4_5,Redo his paperwork to find his error,13,9,13
3_8_5,Ask his family for the money,0,1,0
3_12_5,he should rectify the mistake,0,1,0
3_17_5,make up a story about being robbed,0,3,3
3_22_5,hope staff tells me that they made a mistake,0,4,4
3_31_5,Say that he got robbed,0,3,3
3_37_5,Ask for help explain what happened.,0,4,4
3_38_5,Act like he didn't know the money was missing.,3,6,6
3_39_5,Borrow the money from a fellow employee.,0,5,5
3_42_5,add back the money to make it balance,0,1,1
3_43_5,Tell the manager that he believes one of the employees stole it.,1,2,2
3_50_5,He could say an emergency happened and he needed to use the money for the shop,0,3,0
3_51_5,Leave a note on the register for the morning manager and go home.,0,2,2
3_53_5,Not tell anyone and leave before seeing the manager.,6,2,6
3_54_5,Feign an illness so he can go home and not worry about the consequences. ,0,6,6
3_56_5,"If all else fails, work OT with the rest of the staff keeping an eye out for one of the employees who might be guilty.",0,13,13
3_59_5,Let the main manager do whatever he/she feels necessary.,0,2,2
3_61_5,Lay off the job,0,7,7
3_64_5,educate employees on handling money,0,4,4
3_69_5,Offer to work extra to pay the money back but request the manager investigate,0,11,11
3_72_5,Ask another worker to cover it,0,10,0
3_74_5,Make a deal with the manager so that you can take on the consequence alone.,11,2,11
3_83_5,See if there were any coupons used/not counted or discounts/refunds on the register tape ,8,9,9
3_85_5,torture the staff until one confesses to stealing it.,0,4,0
3_97_5,Have a meeting about theft and the consequences with staff,0,4,4
3_102_5,He could explain to staff that overtime would be required of all if someone didn't come forward.,0,4,0
3_103_5,say he was robbed,0,3,3
4_6_1,Pay her bill,0,1,1
4_12_1,she should get help from others,0,3,3
4_14_1,go to the gym and explain the situation,0,7,7
4_17_1,ask the person at the desk to call her friend for her,2,13,13
4_28_1,Abandon her friend,9,4,9
4_32_1,call from the place phone,0,2,2
4_38_1,Just go and find her friend anyway.,0,5,5
4_46_1,Liz could lie that she was not feeling fine so they don't have to go.,0,11,11
4_50_1,She could show up and tell the gym she left her membership card at home and see if they let her in,0,7,7
4_54_1,Ask the receptionist at the gym to let her friend know the situation for her.,10,13,10
4_61_1,she decide take phone from others ,0,3,3
4_72_1,Try to find a person outside the gym who would let her use their phone,3,2,3
4_74_1,Ask someone to use their phone to call her friend.,3,2,3
4_80_1,Go in to the gym anyways.,0,5,5
4_92_1,Leave the gym,4,4,4
4_5_2,Ask the person at the desk to call her friend,2,13,13
4_7_2,Liz can leave without saying anything,9,4,4
4_12_2,she try to contact her friend from other phone ,0,3,3
4_14_2,tell her friend the next day that she was sick and couldn't make it,0,11,0
4_17_2,ditch her friend and go back to work to get her phone,9,12,9
4_18_2,Ask the front desk at the gym to call her friend for her.,2,13,13
4_20_2,leave and not tell her friend,9,4,9
4_26_2,ask someone to get her friend,0,13,13
4_30_2,try to find her friend outside the gym,0,6,6
4_34_2,Leave and find a phone to call them on.,3,12,12
4_35_2,Simply not show without letting anyone know,9,4,9
4_39_2,Hitchhike,0,8,0
4_40_2,ask to use a phone,3,2,3
4_42_2,go anyway and try to get in,0,5,5
4_44_2,Ask the desk attendant to page her friend,2,13,13
4_45_2,Go home and call.,0,14,14
4_46_2,Liz could tell her friend about her expired membership.,0,11,11
4_47_2,Use a public phone,0,15,15
4_53_2,Ask someone if she can borrow their phone to call her friend.,2,3,3
4_60_2,email her,0,10,10
4_61_2,go away from the gym,0,4,4
4_65_2,See if she can reapply,0,1,1
4_69_2,or wait for her friend and tell he she cant play because she doesn't want to renew her membership,6,1,6
4_78_2,play dumb and pretend she didn't know about the expiration,0,7,0
4_85_2,ghost her friend.,9,4,9
4_86_2,She can go to the gym anyways and ask what can be done about her membership.,0,1,0
4_87_2,She will ask someone if she can pass without a card.,7,8,7
4_90_2,leave,9,4,4
4_95_2,ask someone going into the gym to tell her,0,13,13
4_96_2,ask to borrow a phone,2,3,3
4_100_2,Stand up her friend.,9,0,9
4_102_2,Leave a note on the friend's car.,10,4,10
4_103_2,go back and get her stuff,0,12,0
4_6_3,Ditch friend and lie,0,4,4
4_8_3,Ask somebody else to tell her friend,0,13,13
4_17_3,ask someone coming in to get her friend,0,13,13
4_18_3,Liz can try to catch her friend before it is too late by leaving the gym and driving to where she thinks her friend will be.,0,4,0
4_21_3,she could leave,9,4,9
4_24_3,not show up,9,4,9
4_27_3,leave without telling her friend,9,4,9
4_31_3,Call for her friend,0,2,2
4_35_3,Drive down and let her friends know the situation in person,0,6,6
4_36_3,Ask if she can tell her friend she can't play,0,13,13
4_39_3,Ask a stranger for a ride.,0,8,0
4_42_3,leaving without letting her friend know,9,4,9
4_46_3,Liz could choose not to say a word about it.,0,11,0
4_53_3,Ditch her friend.,9,4,4
4_58_3,go to here friend to tell her,0,13,13
4_61_3,Ask apology to the gym management ,0,7,7
4_69_3,wait for her friend and play with renewed membership,6,1,1
4_74_3,Do nothing.,9,0,0
4_76_3,Leave the gym and never contact her friend again,9,4,9
4_78_3,ask a friend to get her phone,0,3,3
4_84_3,leave the gym ,4,4,4
4_98_3,Liz could ask someone to send a message to her friend,0,3,3
4_99_3,Find a computer near by to send a message through facebook,0,13,0
4_101_3,ignore friend,0,4,4
4_103_3,leave her friend hanging,9,4,4
4_4_4,Walk the same way her friend would walk and try to find her,0,6,0
4_5_4,Skip the game,9,4,9
4_7_4,Liz can not renew her membership,0,1,0
4_8_4,Tell the receptionist at the gym what's going on,0,7,7
4_12_4,she try to get her phone by seeking help from others,0,3,3
4_15_4,Leave a message on her friend's car.,0,10,10
4_20_4,promise to pay next time,0,7,7
4_22_4,if no phone go to another place or business to use there phone,0,3,3
4_32_4,leave the place,9,4,4
4_33_4,"Cancel the racquetball game once her friend arrives, and explain. .",6,11,11
4_37_4,Tell worker her situation ask for a 1 day free pass.,8,7,8
4_39_4,Ask the staff for a ride.,0,7,7
4_40_4,leave ,9,4,4
4_41_4,lie to get in,0,5,5
4_43_4,Ask a gym member to use their phone to call her friend.,3,2,3
4_45_4,Start running outside while waiting.,0,6,0
4_46_4,Liz could cancel out on her game with her friend without stating why.,0,11,0
4_49_4,Do nothing and leave the gym,9,4,4
4_51_4,Drive home and call from the house to have someone at the gym let her friend know.,0,13,13
4_57_4,her membership,0,1,0
4_60_4,send her a message with someone,10,3,13
4_64_4,bribe the front desk for a trial membership,0,8,0
4_68_4,See if she has a bring a friend for a day thing,0,8,8
4_78_4,ask her friend to pay her renewal now with the promise of payback,0,1,0
4_87_4,She will steal someone's membership card.,0,5,5
4_90_4,tell gym staff that she forgot her membership id,0,7,7
4_93_4,Do nothing and leave,9,4,4
4_94_4,just leave and pretend she thought they were supposed to play another time or day,0,4,0
4_102_4,Ask anyone else nearby to deliver a message.,0,3,3
4_2_5,pretend she is still a member,0,5,5
4_12_5,she try to intimate her friend,0,5,5
4_24_5,call on a land line ,0,2,2
4_25_5,Suggest they do something else,0,10,0
4_29_5,leave,9,4,4
4_31_5,Ditch her friend,9,4,4
4_33_5,Ask her friend to get a membership. ,0,1,0
4_35_5,Try to get in despite her expired membership,7,5,7
4_37_5,Go home ditch her friend. Then ghost her.,0,14,14
4_41_5,get her phone,0,12,12
4_43_5,Leave the gym and hope her friend doesn't show.,0,4,4
4_46_5,Liz could ask her friend if they could spend time on something else.,0,13,13
4_57_5,lunch break,0,16,16
4_58_5,not say anything,0,4,4
4_60_5,let her know by other means. ,0,13,13
4_65_5,Just say she forgot,0,11,0
4_67_5,ask the gym to let her in to find her friend,7,13,7
4_72_5,"Head to a store, use the phone to call her friend and let her know the situation",0,3,3
4_74_5,See if she can talk to her friend while she's at the gym.,0,13,0
4_75_5,Lie that the gym messed up her membership expiration date and that she is still current,0,7,0
4_76_5,Leave and get her phone to contact her friend,12,10,12
4_77_5,do nothing and just ditch her friend,9,4,4
4_78_5,don't go to the gym,0,4,4
4_79_5,Leave without telling her friend,9,4,4
4_80_5,Call her friend from a phone at the gym front desk.,2,3,2
4_93_5,Ask to borrow a phone at the gym,2,3,3
4_96_5,force her way in,0,5,0
4_97_5,ask another patron to let her in with their membership card,0,7,7
4_99_5,Use a phone at another nearby business,0,3,3
4_104_5,go tell her friend in person,0,13,0
5_1_1,Do nothing and take the punishment.,5,1,5
5_6_1,Buy soeone elses and write her name on it.,0,12,12
5_50_1,Tell the teacher and explain what happened tell her to call the mom.,0,2,2
5_72_1,Accept that the assignment will have to be late and get a worse grade,5,14,14
5_79_1,Tell the teacher what happened,1,1,1
5_80_1,Tell the teacher what happened.,1,1,1
5_12_2,she should find help from others,0,4,4
5_16_2,Tell teacher that you can hand it in later that day,9,14,14
5_37_2,Tell teacher an give it tomorrow ,9,14,14
5_48_2,call her mom at school and have her talk to the teacher,2,13,13
5_51_2,Explain the situation to her teacher and ask that she bring it as soon as possible.,9,1,1
5_70_2,ask her mom to write her a note and explain what happened,2,13,13
5_83_2,"Tell classmate what's up, ask to see homework to redo it",3,4,3
5_88_2,Shout,0,10,10
5_91_2,Forgot my backpack in my Dad's car and he is out of town,0,7,7
5_95_2,offer to bring it in later that day,9,14,14
5_97_2,explain the situation to the teacher and ask to bring it in tomorrow,9,1,1
5_104_2,Offer to make it up,0,3,3
5_9_3,Ask to turn the assignment in later,9,14,14
5_12_3,she should find help from her friends,0,4,4
5_20_3,promise to bring it in the next day,9,14,14
5_22_3,ask for a continuence for this assignment,0,9,9
5_37_3,Blame the mother,0,1,0
5_50_3,Tell her you are sick use that as an excuse. ,11,7,11
5_51_3,Call another friend to get the assignment from her mom and bring it to her.,0,2,0
5_66_3,Feign an illness to leave school,9,11,11
5_73_3,Pretend to get sick to get out of class,7,11,11
5_79_3,Ask the teacher to call her mother to confirm this happened,0,2,2
5_94_3,try to just bring it in the next day,9,14,14
5_6_4,Tell teacher she needs time to turn in and why.,9,1,1
5_11_4,Offer the teacher to bring it in the evening,9,14,14
5_12_4,she should find help from her family ,0,2,2
5_51_4,Hire an uber driver to go pick it up and bring the assignment to school.,0,8,8
5_53_4,Skip the class and turn it in the next day.,6,14,6
5_56_4,Ask herself why she didn't notice this earlier while eating lunch!,0,10,0
5_59_4,Tell teacher what happened and ask for 1 day delay.,9,1,9
5_62_4,Ask for help from other students,0,4,4
5_66_4,Steal someone else's,12,12,12
5_67_4,take a hit,0,5,5
5_68_4,Ask for extension and ask her to call mom,9,2,9
5_74_4,Ask if she can make it up.,9,1,9
5_82_4,blame her mom,0,1,0
5_85_4,create a diversion to get ejected from class.,0,6,0
5_99_4,ask for a second copy of the homework from her teacher,0,1,0
5_21_5,go home early,6,11,6
5_31_5,Go home,6,11,6
5_48_5,see if she can do it the same day,0,9,0
5_51_5,See if her mom can scan it digitally and send it electronically.,0,2,2
5_56_5,Skip class and tell teacher she was sick.,11,6,11
5_59_5,Ask for extra credit.,0,1,0
5_61_5,Otherwise she will apologize to them,0,1,0
5_62_5,Talk to the principal,0,1,0
5_63_5,cry and do nothing,5,10,10
5_74_5,Yell at her mom when she gets home that she didn't get the credit for her homework.,0,5,0
5_76_5,Drop out of school and apply at Starbucks,0,6,0
5_82_5,say she forgot it at home,7,1,1
5_84_5,pay a classmate for their work,0,4,0
5_86_5,She can ask her friends to help her write a new assignment.,0,4,4
5_89_5,Call home to see if anyone else is there,0,2,2
5_94_5,fake being sick and go home then bring it in later,11,8,11
5_104_5,Go into school early and get a new copy to reproduce homework,0,4,3
6_1_1,Call a rescue crew.,2,9,2
6_5_1,Wait for rescue,4,13,4
6_6_1,Call for rescue,2,9,2
6_11_1,Ask his friends if they know where they are ,8,7,8
6_12_1,he should find them,0,7,0
6_13_1,Build a fire. A large fire so they can keep warm and so rescue can find them.,1,9,9
6_15_1,Kill a bear and climb inside it for warmth,0,6,0
6_19_1,Stay put and wait for rescue.,4,13,4
6_21_1,wait for the crew,4,13,4
6_24_1,call rescue crews,2,9,2
6_28_1,Search for help,0,2,2
6_30_1,call a rescue crew,2,9,2
6_34_1,Stay where he is and hope rescue finds him.,4,13,4
6_36_1,Attempt to find their way back,11,7,11
6_38_1,Get a hold of the rescue crew anyway and wait it out.,2,13,2
6_39_1,Keep walking and try to find his way out.,3,7,3
6_40_1,stay put,4,13,4
6_43_1,Start to make a shelter.,4,4,4
6_44_1,Call a rescue crew,2,9,2
6_45_1,find some water,6,14,14
6_52_1,try to find a water source,6,14,14
6_58_1,try to find help,2,8,2
6_61_1,There he will hear the fire and wait for himself,0,13,0
6_68_1,Wait for rescue,4,13,4
6_78_1,make a fire to gain attention,1,9,9
6_80_1,Not tell anyone that they are lost.,3,13,13
6_85_1,murder one of his friends and eat them.,5,9,5
6_86_1,Brad can wait for a rescue crew anyway.,4,13,4
6_90_1,drink his own urine,0,14,14
6_91_1,Stop and rest when you start to feel tired.,0,4,0
6_98_1,Brad should try not to panic,0,13,0
6_99_1,start a fire and wait for the rescue people,1,9,1
6_101_1,eat all the food alone,0,10,0
6_104_1,Collect nearby rations,12,6,6
6_4_2,search for a source of water,6,14,14
6_11_2,Call the rescue team,2,9,2
6_12_2,he should make a search on him,0,7,0
6_17_2,brad could have everyone share the same tent to conserve heat,0,4,4
6_22_2,try to signal somehow for help,9,2,9
6_27_2,try to find a way to contact someone,0,2,2
6_28_2,Call a rescue crew,2,9,2
6_36_2,Try to get cellphone service,0,2,2
6_38_2,Look for water and food in the wilderness.,6,14,14
6_39_2,Take a break and think of a plan.,0,7,0
6_46_2,Brad could tell his friends that they are very close to being back to where they started.,0,8,8
6_54_2,Offer to hike on by himself with a little of the supplies so he can move faster and find help. ,0,7,0
6_55_2,Brad could keep the problem to himself,0,13,13
6_59_2,make something to catch rain water,6,14,14
6_68_2,Flare gun,9,9,9
6_69_2,Find camp near water,4,14,4
6_75_2,Develop a plan to expedite their rescue,0,7,0
6_77_2,try and self rescue,0,3,0
6_79_2,Keep walking in hopes of meeting people first,3,9,3
6_80_2,Stop sharing his food and water.,0,10,10
6_84_2,have one member go for help,0,15,15
6_97_2,rescue themselves by trying find a nearby village with people to call the rescue crew,0,7,0
6_98_2,He could gather twigs,0,1,1
6_99_2,start hiking in the direction of the nearest stream to find other peopl,7,3,3
6_101_2,share the food in small portions,0,12,12
6_103_2,wait until he dies,0,13,13
6_8_3,Use the sun to determine the direction and start walking,7,3,7
6_10_3,Hide remaining food and water from friends,0,10,10
6_18_3,Brad can send a signal to call for help.,9,2,9
6_20_3,give up and wait to die,0,13,13
6_21_3,look for materials to survive,0,6,0
6_24_3,hike back,3,11,3
6_26_3,wait for help,4,13,4
6_32_3,look for help,0,2,0
6_39_3,Gather things from the forest for survival.,0,6,0
6_44_3,Wait for his friends to say something,0,13,13
6_46_3,Brad could lie to his friends that it was all part of the hiking session.,0,10,0
6_48_3,setup a campsite with fire,4,1,4
6_54_3,"Gripe about the trip and how horrible an idea it was, making the situation worse for his friends. ",0,10,0
6_63_3,start hiking towards water and look for food,6,14,6
6_64_3,call the rescuers,2,9,2
6_67_3,find resources in the wilderness,0,6,0
6_70_3,make sure their group stay warm to avoid hypothermia ,0,4,4
6_73_3,Build a fire and boil river water,1,14,14
6_74_3,Look for help in their surrounding.,0,2,0
6_76_3,Admit defeat and succumb to the elements,0,13,13
6_79_3,Give up,0,13,13
6_80_3,Inform everyone they are lost so people start rationing food.,8,12,12
6_85_3,attempt to hike their way out of the wilderness.,7,3,7
6_91_3,Make sure to drink enough water to avoid dehydration,0,14,14
6_95_3,use a phone to help find their way out if there is service,7,2,2
6_5_4,Divide up the group to look for food/water,15,14,15
6_10_4,Steal food or water from friends,0,10,0
6_14_4,look for water and food in their location,6,14,14
6_15_4,stay put and ration resources,4,12,4
6_16_4,Search for a source of water,6,14,14
6_20_4,make plans for surviving long term,0,7,0
6_30_4,stay together,0,4,0
6_32_4,pray about it,0,13,0
6_33_4,Look for a body of water that may have fish in it.,6,14,6
6_36_4,Make noise to alert help,2,9,9
6_37_4,Blame his mates fir getting lost.,0,10,0
6_44_4,Give up and die,0,13,13
6_45_4,wait,4,13,4
6_50_4,They could try to explore more till they get help sooner,0,7,7
6_51_4,Tell everyone to fast and find water...and sleep under soil for warmth.,0,14,14
6_54_4,Make jokes about how they can eat each other if the situation got really bad. ,0,13,0
6_55_4,Brad could give up and choose to die in the wilderness,0,13,13
6_61_4,He will try indentify the smoke for that place ,0,7,0
6_63_4,leave his friends and go look for help,0,10,10
6_67_4,find a cave,0,4,4
6_77_4,eat his friends,5,5,5
