"","id","context","text","group"
"120",20,2,"I would call friends and family until I found someone to take care of my car then I would call an uber to drive me to the airport. ",4
"121",21,2,"I have said that help for someone and get the plane.",-99
"122",22,2,"Call a tow truck first, they take forever to get there. Call a family member or a friend to come take your place, have them bring someone else who can drive you to the airport.",0
"123",23,2," I probably call a tow truck to take the car home and get an uber to the airport. This isn't even a big deal if I left early enough",2
"124",24,2,"cancel the flight, call a towtruck",5
"125",25,2,"I would have purchased the insurance. First I'd deal with the towing service then get my plane tickets refunded/reschedule the trip.",2
"126",26,2,"Skip the safari, fix the car.",5
"127",27,2,"I would have to just wait with my car and probably miss my flight unless I have a friend in the area.",5
"128",28,2,"call for help",0
"129",29,2,"call for a cab",1
"130",30,2,"Call a tow truck for the car, have them drop it off at my home and catch a taxi to the airport.",2
"131",31,2,"Call a friend to handle the car and take an Uber",4
"132",32,2,"flag down a driver for help",11
"133",33,2,"hitch hike",3
"134",34,2,"call uber, tow truck",1
"135",35,2,"Call a cab.",1
"136",36,2,"Call a friend to get the car and take you to the airport.",4
"137",37,2,"call a friend",4
"138",38,2,"I would have no choice but to call a tow truck, then try and catch a cab to the airport",2
"139",39,2,"call to have car towed back to house, uber to airport.",2
"140",40,2,"I would call a taxi or friend to come pick me up after I have locked my car and secured my valuables.",1
"141",41,2,"I would call AAA",2
"142",42,2,"call a tow truck and reschedule flight.",2
"143",43,2,"call a towing company and police and let them know. call an uber to get to the airport",2
"144",44,2,"reschedule flight",7
"145",45,2,"Call a tow service and also call an Uber; I'll have to take care of my car when I get back, but I need to get to this trip!",2
"146",46,2,"catch a different flight",7
"147",47,2,"Call highway patrol or my car insurance to get help getting my car moving again",2
"148",48,2,"Decide I probably shouldn't hunt animals like that anyways and go home.",5
"149",49,2,"try and call an uber",1
"150",50,2,"Call a taxi for a ride to the airport, and call a tow truck to get the car to storage until I return from the safari.",1
"151",51,2,"Call AAA and get help.",2
"152",52,2,"I would call a tow truck and have them tow the car and call a cab to take me to the airport",2
"153",53,2,"I would call a close friend to see if they could either pick me up, or if they could get my car while I called a cab.",4
"154",54,2,"Call a Uber ",1
"155",55,2,"Try to reschedule the flight and get the car towed home.",7
"156",56,2,"Call a friend to come pcik the car and i catch a taxi to the airport",4
"157",57,2,"I would call a friend to come sit with my car and an Uber to take me to the airport so I don't miss my flight. ",4
"158",58,2,"Hopefully come to my senses and not participate in such a cruel activity. But i would be very worried, i might try to call the airport and alert them and see what my options were for a later flight. ",5
"159",59,2,"I would call a taxi.",1
"160",60,2,"Call the emergency roadside assistance and explain the situation. If they are going to be unable to figure it out in time, then call the airport and see if I can reschedule my flight. ",14
"161",61,2,"I would call a tow truck to get my car home, then I would call a ride-sharing service to take me to the airport.",2
"162",62,2,"Get an Uber to the airport.",1
"163",63,2,"Call for an uber ",1
"164",64,2,"The intersection is good and well apperance.",-99
"165",65,2,"I would first call an uber or ride service to arrive on time. Then call a towing or mechanic service to handle the car.",1
"166",66,2,"I would call a tow truck to tow me to the airport lot",2
"167",67,2,"Miss the hunting safari",5
"168",68,2,"I would call a tow truck to tow my car to the Airport while I got a ride from a taxi or Uber. I'd worry about the issue after I got back and plan for fixing it during the trip. t",0
"169",69,2,"I would order a cab or uber to get to the airport.",1
"170",70,2,"Call a cab and a tow truck",1
"171",71,2,"Call for a tow and miss the flight.",2
"172",72,2,"yes next car book in airport ",-99
"173",73,2,"call roadside assistance, have the car towed to the shop and take an uber to the airport",2
"174",74,2,"fast to go it ",-99
"175",75,2,"Well, I would call for help (a tow truck) and possibly attempt to still make it to the airport in time. However, if I couldn't make it to the airport and still get my car safely off the road, I would have to take the loss. Things happen and it can't be the end of the world. Sometimes, things don't go as planned and I have learned to roll with it. I would take it as ""a sign I was not meant to go"" and return home. ",2
"176",76,2,"I call friends and family to take care of the car issue. I'll likely get it towed and seek an uber to the airport.",4
"177",77,2,"I wouolod get the car off of the road and push it somewhere safe. I would call an Uber ride to make it to the airport. While on the way I will make arrangements to have my car picked up or towed.",0
"178",78,2,"Reschedule my flight ",7
"179",79,2,"I would call a friend or family member that can come take care of my car and get it towed away and I would call an uber or taxi to get to the airport.",4
"180",80,2,"call a family member to stay with car, then call Uber",4
"181",81,2,"I would try to flag someone down to see if they could give me a ride and if they did stop and give me a ride then I would call for a wrecker to haul my car to my mom's house .",3
"182",82,2,"I would call the airport to see if I could catch a later flight.",7
"183",83,2,"I would call AAA and an uber. Hopefully my family will ensure my car makes it back with AAA and the uber will hopefully get me to the airport in time",2
"184",84,2,"Unsure what to do",-99
"185",85,2,"I would leave my car and hitch a ride and call a friend to have it towed for me.",3
"186",86,2,"I am going to pick up the air flight",-99
"187",87,2,"start speeding",0
"188",88,2,"Call friends and family to see if they can handle my car. Call a tow truck and then either an Uber or friend to drive me to airport. Deal with the car when I get back.",4
"189",89,2,"I cross that street and rent a new taxi",1
"190",90,2,"i would hire a ride-sharing service, and call a friend to get my car to a mechanic.",1
"191",91,2,"I would call uber and a tow truck.",1
"192",92,2,"I would try and get to there by foot. ",6
"193",93,2,"Call a tow truck and get the car towed to a mechanic and Uber to the airport",2
"194",94,2,"Call a friend for help",4
"195",95,2,"I will call a friend ",4
"196",96,2,"call a tow truck and reschedule my flight",2
"197",97,2,"Have the car towed to a repair shop and call an Uber to the airport.",2
"198",98,2,"Skip the trip, miss your flight. Hunting safaris are gross.",5
"199",99,2,"Call AAA or a tow truck and a taxi.",2
"200",100,2,"Call for a tow truck, while waiting for the tow call shops to find one that can accept the tow without you there. Call a taxi/Uber for yourself to the airport.",2
"201",1,3,"Call the other manager",0
"202",2,3,"I will count down all registers and check in the cracks to make sure I didn't miss anything. If I didn't I would watch the camera.",13
"203",3,3,"Put my money in the register.",1
"204",4,3,"pay the difference",1
"205",5,3,"Use my own money to balance the til.",1
"206",6,3,"I would put money in and question anyone else that was around.",1
"207",7,3,"Use money from my own pocket",1
"208",8,3,"I would try to solve how the money is missing. Also I would recount the drawer",13
"209",9,3,"Report the situation to my manager.",2
"210",10,3,"I would explain what happened and take the job loss.",0
"211",11,3,"Put in 50.75 of your own money.",1
"212",12,3,"add $50.75 of my own money into the register",1
"213",13,3,"Re-check the daily sales to make sure that money is actually missing.",9
"214",14,3,"leave a note and check the tape the next day to see why it may be short",8
"215",15,3,"Review my transactions for the day and see if anything looks unusual",9
"216",16,3,"I would put some of my own money to make up for the missing amount so that I don't lose my job.",1
"217",17,3,"tell boss to check the cameras",2
"218",18,3,"I would recount the money and if it wasn't there report what happen",9
"219",19,3,"Review the receipts for the day and question the cashier(s).",9
"220",20,3,"I would search everywhere for the money and recount the money. If both fail then I would call all the cashiers that worked to find out if any of them knew what happened. ",13
"221",21,3,"I have maintain for my peace and solve the missing amount for confidently",-99
"222",22,3,"I would report it to the manager, it could have been a mistake from the previous shift. I would go through all the steps and procedures in finding the mistake, it could have been in a form of a check or a mistake ringing up. No way ever would I put my own money into the register to make it even, lose of job or not. ",2
"223",23,3,"I'm honest with the boss and we figure out together what happened. It's likely data was entered wrong",2
"224",24,3,"i'd replace the money",1
"225",25,3,"Explain this to the manager. If they don't believe me then I don't want to work there anyway.",2
"226",26,3,"Talk it over perhaps with anyone involved, add my own funds to cover it if needed.",4
"227",27,3,"I would ask around and see if anyone knows why that amount of money is missing.",4
"228",28,3,"put in my money",1
"229",29,3,"make sure the amount is covered",0
"230",30,3,"I cover the register and have security run the cameras and audit the registers so we can find out what went wrong.",8
"231",31,3,"Ask around if there are any mistakes",4
"232",32,3,"tell the manager",2
"233",33,3,"Quit and run away",7
"234",34,3,"tell my boss",2
"235",35,3,"Go back through and make sure that it's actually missing.",9
"236",36,3,"Attempt to find the discrepancy, then be honest.",9
"237",37,3,"pay it out of pocket",1
"238",38,3,"I would check the drawers again, feeling around, and search the floor in case any money fell or got stuck somewhere",13
"239",39,3,"let my boss know, investigate what happened.",2
"240",40,3,"I would find the missing money before my shift is over.",13
"241",41,3,"I would inform my boss that a big amount is missing",2
"242",42,3,"Put the money in out of my pocket.  Try to figure out what went wrong.",1
"243",43,3,"recount the money in case their is a mistake",9
"244",44,3,"Put my own money in it",1
"245",45,3,"Input $50.75 worth of purchases that didn't actually happen so the register is balanced",3
"246",46,3,"I would try to figure out what happened to the money",4
"247",47,3,"Call whoever was working the register to ask if they know anything, if not I'd call my boss to see what the procedure is",4
"248",48,3,"Put 50.75 of my own money in.",1
"249",49,3,"count it again and pray",9
"250",50,3,"Do my best to go back through tape to figure out where the mistake happened, then talk to management about it.",8
"251",51,3,"Note the loss at the end of the shift.",1
"252",52,3,"After counting the money again and again I would put the money in the register and hope for the best.",6
"253",53,3,"I would double count then document the discrepancy for the accountants to review.  I would not be afraid of losing my job because it was obviously a one off situation.",0
"254",54,3,"Pay the money back",1
"255",55,3,"Count the drawer again and be sure that the total is correct, also check for any credits that may have been issued.",9
"256",56,3,"I will bear the cost and replace the money",1
"257",57,3,"I would tripple check the funds. If the till was still short I would add the money from my own cash. ",9
"258",58,3,"I would recount everything a few times and then contact upper management to ask them what to do in the situation. ",9
"259",59,3,"I would add the missing money from my own money.",1
"260",60,3,"Recount the money and make sure that the total is incorrect. If it is still incorrect then call my supervisor and let them know the issue and see how they want to proceed. ",9
"261",61,3,"I would put my own money into the register.",1
"262",62,3,"Put in my own money to balance it.",1
"263",63,3,"Pay the restaurant and figure it out tomorrow ",1
"264",64,3,"The doller is high on the budject.",-99
"265",65,3,"I would calmly approach my employees asking if they saw anything or know anything and then check on possible camera footage to get the full picture",4
"266",66,3,"I would notify a manager immediately",2
"267",67,3,"Find out where the discrepancy is",13
"268",68,3,"I would recount all the money, then check the cameras. ",9
"269",69,3,"I would leave a note explaining the situation, or call the upper admin to explain what I found. I would potentially offer paying the difference, but am confused how this discrepancy would occur.",2
"270",70,3,"Put my own money in the register",1
"271",71,3,"File a report explaining money is missing. Review security tapes, find the theif.",8
"272",72,3,"pay in money",-99
"273",73,3,"Report the shortage to your supervisor ",2
"274",74,3,"I give my best.",-99
"275",75,3,"I would call the owner or the boss, whoever I report to, and let them know right away that my drawer is missing $50.75 so we could check the cameras to see if an employee took it. If it were found to be something I did mistakenly (give an extra 50 back in change, two 50s stuck together or something like that) than I would offer to have it taken out of my paycheck. But only if were my fault. ",2
"276",76,3,"I'd ask people im working with to see if we can find the money and if not I'd put my own money back in the register to avoid being fired.",4
"277",77,3,"I would have no choice but to pay the money back that I owe since it is my responsibility.",1
"278",78,3,"Review why it is short",9
"279",79,3,"I would recount the money to make sure there was no error. Then if I had to replace the money I guess thats what I would have to do.",9
"280",80,3,"Recount.  Document.  Nothing much else you can do.",9
"281",81,3,"I would recheck it and if it was still short then I would have to take money out of my pocket to cover it and then tell the employer that one of the other employees is coming up short with how they are figuring the cash register either they are pocketing or adding something wrong so we need to check them out and see what is going on.",9
"282",82,3,"I would mae a note of the missing money to tell the manager.",2
"283",83,3,"Well I suppose I would give my own money to make the drawer even but I'd definitely be going over the day's purchases and checking security cameras if there are any for evidence of theft.",1
"284",84,3,"put own money in",1
"285",85,3,"I would go through it again to see if I can find the issue. Then ask the employees if they have any idea.",9
"286",86,3,"I get another job right now",0
"287",87,3,"put in my own money",1
"288",88,3,"Double check the count and see if anyone took money from my register for theirs. If neither turns up the difference then fill the register due to my own mistake.",9
"289",89,3,"I check the accounts and Verify the CCTV camera weather other person steal the amount",8
"290",90,3,"I would replace it with my own money.",1
"291",91,3,"I would not use money out of my pocket.",0
"292",92,3,"try and make up for the money by replacing it through my own pocket. ",1
"293",93,3,"Recount the money and schedule time to talk to the owner the next day",9
"294",94,3,"I would take a look at the surveillance cameras.",8
"295",95,3,"I would fill it with my own money",1
"296",96,3,"recount the money and call the manager",9
"297",97,3,"I would replace the money until I was able to discuss this with my manager",1
"298",98,3,"Put my own money in, $50.75, to balance it and then pay attention at work to see who is skimming from the register.",0
"299",99,3,"Go through the receipts again and leave a shortage message if necessary.",9
"300",100,3,"double count the drawer and safe",9
"301",1,4,"Ask for a guest pass",8
"302",2,4,"I would pay for a new membership.",1
"303",3,4,"Renew my membership.",1
"304",4,4,"leave a message",10
"305",5,4,"Ask if the employee can let my friend know I will not be making it.",13
"306",6,4,"I would ask to borrow the desk phone or go back to the office for my own phone",2
"307",7,4,"Renew my membership.",1
"308",8,4,"I would leave a note for her at the reception desk and describe her to the person working there so they could give her my note",10
"309",9,4,"I would renew my membership or pay a daily fee to go play.",1
"310",10,4,"I would wait for them to get there and tell them about it. I am sure that they would understand",6
"311",11,4,"use phone at the gym to call friend.",2
"312",12,4,"wait for my friend to arrive and talk to him when he gets there",6
"313",13,4,"Renew your membership.",1
"314",14,4,"wait for them and try to go in together so they don't notice",0
"315",15,4,"Explain the situation to the receptionist. See if they'll give me a guest pass for the day and if not, ask for an escort to go inform my friend",0
"316",16,4,"I would wait for my friend and tell him I can't play racquetball today because I hurt my back. I would then suggest we go have lunch somewhere. Then later, I would renew my membership and call my friend to re-schedule.",0
"317",17,4,"renew membership at front desk",1
"318",18,4,"arrive before the friend and explain the situation",0
"319",19,4,"Renew my membership on the spot.",1
"320",20,4,"I would see if I could renew my membership. ",1
"321",21,4,"I have tell for my situation in the gym owner",0
"322",22,4,"I would renew my membership. If that wasn't possible I wait for my friend at the desk or the door. If they had already entered I would have them called to the desk or ask someone going into the gym to have my friend come outside. ",1
"323",23,4,"Leave a message for when he checks in, Ask the gym to call him",10
"324",24,4,"i might re-up my membership",1
"325",25,4,"I'd leave a message with the gym staff, return to the office and call my bud from there.",0
"326",26,4,"Ask to borrow someone's phone.",3
"327",27,4,"I would buy a new membership.",1
"328",28,4,"renew my membership",1
"329",29,4,"ask to use the phone",2
"330",30,4,"I will talk to the desk agent and get a day pass so I can play with my friend.",8
"331",31,4,"Renew my membership",1
"332",32,4,"let the desk know ",13
"333",33,4,"buy a membership",1
"334",34,4,"ask gym to use phone",2
"335",35,4,"Wait for the friend to show up.",6
"336",36,4,"Ask staff to deliver the message.",10
"337",37,4,"leave a message at the gym desk",10
"338",38,4,"I would ask the gym employees to pass the message along",10
"339",39,4,"renew membership",1
"340",40,4,"I would borrow a phone to call my friend.",3
"341",41,4,"I would just renew my membership",1
"342",42,4,"wait outside till he arrives.",6
"343",43,4,"try to ask someone going in to let them know or tell them the situation and see if they will let you in",0
"344",44,4,"Leave and tell them later",11
"345",45,4,"Ask the receptionist at the gym if I can use the phone to call my friend; barring that I'd leave a note for them",2
"346",46,4,"wait for friend to show or let the front desk charge the card on file",6
"347",47,4,"Go up to the gym desk and renew my membership",1
"348",48,4,"Buy a new membership, since I am likely to anyways.",1
"349",49,4,"tell  them when they arrive",6
"350",50,4,"Have someone go find the friend, but in the meantime renew my membership so I can continue to play racquetball.",0
"351",51,4,"Ask to borrow a phone to call him.",2
"352",52,4,"Have the friend paged and then let him know the problem.",13
"353",53,4,"I'd talk to the front desk and see if they could contact the person to talk to them.",13
"354",54,4,"Pay the daily fee or wait for friend and explain the situation ",8
"355",55,4,"Ask someone at the gym can you borrow their phone and or check with the gym owner to see if you can use theirs.",3
"356",56,4,"I will just go back to work",9
"357",57,4,"I would renew the membership and enter the gym to play with the friend who is waiting for me. ",1
"358",58,4,"I would ask the front desk if they could call him, or i would wait until he arrived to let him know. ",13
"359",59,4,"I would ask if I could go in quickly or if somebody could pass a message to my friend.",0
"360",60,4,"Ask the people at the gym if they can inform your friend. See if I can renew my membership whilst I am there. ",13
"361",61,4,"I would wait there until my friend got there and depending on the price, I may renew the membership.",6
"362",62,4,"Wait for your friend and decide what to do from there.",6
"363",63,4,"Go back to the office and call my friend ",12
"364",64,4,"The office is the desk on the phone in my friend,",-99
"365",65,4,"I'd pay the membership fee and go into the gym",1
"366",66,4,"I'll have to go back and explain what happened",0
"367",67,4,"Ask gym staff to let your friend know",13
"368",68,4,"I'd wait until my friend came and tell them. ",6
"369",69,4,"I would pay for the day to hang with my friend, and or reinstate my membership.",8
"370",70,4,"Pay for the membership.",1
"371",71,4,"Buy a new membership or wait out front for my friend to arrive.",1
"372",72,4,"next day in gym",-99
"373",73,4,"Leave a note with the person at front checking in members and letting my friend know the situation.",10
"374",74,4,"I cancel the plan",0
"375",75,4,"I would wait at the gym for my friend to arrive and let them know. or, I would pay the membership fee if I were able to at the time.",6
"376",76,4,"I'd try to renew my membership before my friend got there. If that wasn't an option I'd try to borrow someone's phone at the gym.",1
"377",77,4,"I would just not go, and tell him the truth the next day when I get my phone.",11
"378",78,4,"Ask the gym to inform my friend ",13
"379",79,4,"I would ask the receptionist at the gym if they could locate my friend and pass on the message. ",13
"380",80,4,"I would ask the person at the desk to notify my friend and/or renew my membership on the spot.",13
"381",81,4,"I decide to go pay for my membership so that I can play racquetball with my friend even thought I have to ask him for the money since I left my things behind.",0
"382",82,4,"I would try to renew my membership and wait for my friend to arrive.",1
"383",83,4,"I would go back to the office and text my friend about the situation and apologize profusely for standing them up. ",12
"384",84,4,"Unsure what to do",-99
"385",85,4,"I would ask if he is there already and if not wait for him to get there.",0
"386",86,4,"I am calling to landline",-99
"387",87,4,"try to sneak in the gym",5
"388",88,4,"Ask to borrow a phone and see if anyone will lend theirs to me for a moment.",3
"389",89,4,"I back to desk in office after that I informed to him",-99
"390",90,4,"I would leave and call my friend later to explain.",11
"391",91,4,"I would wait for my friend and pay for one day or renew my membership..",6
"392",92,4,"I would go the gym regardless.",0
"393",93,4,"Wait for him to show up and ask for a one time pass",8
"394",94,4,"Go home and wait until the next day to apologize to my friend.",11
"395",95,4,"I would borrow a phone",3
"396",96,4,"buy another membership since you like going ",1
"397",97,4,"Wait for my friend to get to the gym and explain the situation",6
"398",98,4,"Buy a new membership, meet my friend.",1
"399",99,4,"Wait outside for him to show up or ask someone to use their phone.",6
"400",100,4,"Ask the gym desk if your friend is already there or not, if so ask to send a message to them if not then wait by the door to catch them. Or, pay for the membership on the spot. ",13
"401",1,5,"Explain to the teacher and ask for an extra day",9
"402",2,5,"I tell them to call my mom, so I can turn in my homework assignment.",2
"403",3,5,"Go to the office and call home, then have mom call the teacher.",2
"404",4,5,"explain to the teacher",1
"405",5,5,"Explain to the teacher what happened.",1
"406",6,5,"Ask the teacher to call my mom.",2
"407",7,5,"Talk to my teacher and ask if I can bring it the next day",9
"408",8,5,"I would explain the situation to the teacher",1
"409",9,5,"I would explain the situation to my teacher. Then I would ask the office to call my mom. Although, in this scenario I am an elementary school student so I may just cry.",0
"410",10,5,"I would tell the teacher what happened and just accept it. ",1
"411",11,5,"call my mom and tell teacher about it.",2
"412",12,5,"tell my teacher the truth and turn in my homework tomorrow",0
"413",13,5,"Call Mom and ask her to bring the assignment.",2
"414",14,5,"tell the teacher what happened and call my mom to bring it ",1
"415",15,5,"Explain the situation to my teacher and ask to turn it in tomorrow",9
"416",16,5,"I would tell my teacher, and have my mom write a letter to my teacher. I would try to remember my answers to my assignment and try to put down as much information that I can remember.",0
"417",17,5,"tell the teacher to call mom",2
"418",18,5,"explain to the teacher what happened ",1
"419",19,5,"Contact my mother to see if she can bring the homework assignment or ask for a pass to go home to get it and bring it back.",2
"420",20,5,"I would explain what happened to my teacher. ",1
"421",21,5,"I have tell the information for my teacher and excuse for one day",9
"422",22,5,"I would call my mom and ask her to bring it to the school. If she weren't I would see if there was some way the teacher could talk to my mother on the phone and get an explanation. I would make sure the teacher knew up front why I didn't have the work. ",2
"423",23,5,"Im in elementary school so probably make up a story about some gang members that demanded my homework and I had to beat them all up and during the melee I lost it.",7
"424",24,5,"talk to the teacher about the misunderstanding and see if she would call my mom for me",2
"425",25,5,"Explain the situation to the teacher and suggest she call my mom to check my story.",1
"426",26,5,"Tell the teacher as soon as I arrived.",1
"427",27,5,"I would explain what happened to my teacher and have her ask my mom to confirm the story.",1
"428",28,5,"try to call my mom",2
"429",29,5,"tell the teacher the truth",1
"430",30,5,"I tell the teacher that I completed the assignment and I ask to call my mom so she can send a photo of it to my teacher's email.",1
"431",31,5,"Take the loss",5
"432",32,5,"explain the situation ",1
"433",33,5,"call mom",2
"434",34,5,"tell my teacher, call my mom",2
"435",35,5,"Call my mom and have her bring it.",2
"436",36,5,"Tell the teacher the truth and ask to call your mom.",2
"437",37,5,"tell the teacher the situation ",1
"438",38,5,"I would talk to my teacher and explain the situation",1
"439",39,5,"ask if I can turn it in late.",9
"440",40,5,"I would explain myself to the teacher.",1
"441",41,5,"I would tell the teacher and have her call my mom to bring if or see if I can bring it in the next day",0
"442",42,5,"Explain it to teacher and hope Mom can get the paper to you before end of day.",1
"443",43,5,"tell your teacher and ask if you can bring it tomorrow",9
"444",44,5,"Explain my situation to the teacher",1
"445",45,5,"Tell the teacher that my homework is at my house, because my mom took it out of my backpack and I will turn it in tomorrow",1
"446",46,5,"just go to class and ask if you can turn it in tomorrow ",9
