Progress,Duration (in seconds),Finished,S1_4,S1_5,S1_6,S2_4,S2_5,S2_6,S3_4,S3_5,S3_6,S4_4,S4_5,S4_6,S5_4,S5_5,S5_6,S6_4,S6_5,S6_6,S7_4,S7_5,S7_6,S8_4,S8_5,S8_6,S9_4,S9_5,S9_6,S10_4,S10_5,S10_6,S11_4,S11_5,S11_6,S12_4,S12_5,S12_6,S13_4,S13_5,S13_6,S14_4,S14_5,S14_6,S15_4,S15_5,S15_6,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A,S5-FR_5 - Parent Topics,S5-FR_5 - Sentiment Polarity,S5-FR_5 - Sentiment Score,S5-FR_5 - Sentiment,S5-FR_5 - Topic Sentiment Label,S5-FR_5 - Topic Sentiment Score,S5-FR_5 - Topics,FL_11_DO_FL_248,FL_11_DO_FL_265,FL_11_DO_FL_264,FL_11_DO_FL_263,FL_11_DO_FL_262,FL_11_DO_FL_261,FL_11_DO_FL_260,FL_11_DO_FL_259,FL_11_DO_FL_258,FL_11_DO_FL_257,FL_11_DO_FL_256,FL_11_DO_FL_255,FL_11_DO_FL_254,FL_11_DO_FL_253,FL_11_DO_FL_252,FL_11_DO_FL_251,FL_11_DO_FL_250,FL_11_DO_FL_249,FL_186_DO_FL_25,FL_186_DO_FL_27,FL_186_DO_FL_29,FL_186_DO_FL_31,FL_186_DO_FL_33,FL_186_DO_FL_35,FL_189_DO_FL_37,FL_189_DO_FL_39,FL_189_DO_FL_41,FL_189_DO_FL_44,FL_189_DO_FL_49,FL_189_DO_FL_51,FL_196_DO_FL_54,FL_196_DO_FL_56,FL_196_DO_FL_58,FL_196_DO_FL_60,FL_196_DO_FL_62,FL_196_DO_FL_64,FL_197_DO_FL_66,FL_197_DO_FL_68,FL_197_DO_FL_70,FL_197_DO_FL_72,FL_197_DO_FL_74,FL_197_DO_FL_76,FL_198_DO_FL_78,FL_198_DO_FL_80,FL_198_DO_FL_82,FL_198_DO_FL_84,FL_198_DO_FL_86,FL_198_DO_FL_88,FL_199_DO_FL_90,FL_199_DO_FL_92,FL_199_DO_FL_94,FL_199_DO_FL_96,FL_199_DO_FL_98,FL_199_DO_FL_100,FL_200_DO_FL_108,FL_200_DO_FL_110,FL_200_DO_FL_112,FL_200_DO_FL_114,FL_200_DO_FL_116,FL_200_DO_FL_118,FL_201_DO_FL_120,FL_201_DO_FL_123,FL_201_DO_FL_125,FL_201_DO_FL_127,FL_201_DO_FL_129,FL_201_DO_FL_131,FL_202_DO_FL_133,FL_202_DO_FL_137,FL_202_DO_FL_135,FL_202_DO_FL_139,FL_202_DO_FL_141,FL_202_DO_FL_143,FL_203_DO_FL_145,FL_203_DO_FL_147,FL_203_DO_FL_149,FL_203_DO_FL_151,FL_203_DO_FL_153,FL_203_DO_FL_155,FL_204_DO_FL_157,FL_204_DO_FL_161,FL_204_DO_FL_163,FL_204_DO_FL_165,FL_204_DO_FL_167,FL_204_DO_FL_169,FL_205_DO_FL_159,FL_205_DO_FL_171,FL_205_DO_FL_173,FL_205_DO_FL_175,FL_205_DO_FL_177,FL_205_DO_FL_179,FL_206_DO_FL_207,FL_206_DO_FL_208,FL_206_DO_FL_209,FL_206_DO_FL_210,FL_206_DO_FL_211,FL_206_DO_FL_212,FL_213_DO_FL_214,FL_213_DO_FL_215,FL_213_DO_FL_216,FL_213_DO_FL_217,FL_213_DO_FL_218,FL_213_DO_FL_219,FL_220_DO_FL_221,FL_220_DO_FL_222,FL_220_DO_FL_223,FL_220_DO_FL_224,FL_220_DO_FL_225,FL_220_DO_FL_226,FL_227_DO_FL_228,FL_227_DO_FL_229,FL_227_DO_FL_230,FL_227_DO_FL_231,FL_227_DO_FL_232,FL_227_DO_FL_233,FL_234_DO_FL_235,FL_234_DO_FL_236,FL_234_DO_FL_237,FL_234_DO_FL_238,FL_234_DO_FL_239,FL_234_DO_FL_240,FL_241_DO_FL_242,FL_241_DO_FL_243,FL_241_DO_FL_244,FL_241_DO_FL_245,FL_241_DO_FL_246,FL_241_DO_FL_247
100,467,TRUE,45,83,58,100,100,100,,,,,,,,,,,,,,,,76,86,98,26,12,7,22,54,6,,,,,,,,,,,,,,,,22,11,21,,,,,,,,34,Male,White / Caucasian,,College Graduate (4 year),Rung 4,taking out a loan,rescheduling for a later flight,selling one of his kidneys,lying that she left her card inside,bringing in the assignment the next day,boosting morale with a three-legged race,giving her ticket to Ted,asking the parents if they know him,tailgating the car,refusing to drive her,calling emergency services,storing the knife in an airport locker,borrowing their mom’s wedding ring,getting another job,throwing disobedient passengers off the boat,yelling at Todd for getting stuck,leaving the store unattended,calling for help,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,,1,,,
100,198,TRUE,,,,,,,,,,,,,86,100,97,,,,,,,3,54,1,,,,,,,7,95,1,,,,,,,100,100,100,,,,70,90,91,,,,100,100,100,,43,Male,White / Caucasian,,Some College,Rung 4,searching for the medication on the black market,rescheduling for a later flight,selling one of his kidneys,lying that she left her card inside,quickly trying to redo the assignment,huddling to conserve energy,trying to buy a ticket off another person,making cat noises at him until he leaves,ramming into the car,stealing whatever she has on her,pouring water on the car to cool it,asking to check the knife,telling his sister as soon as possible,checking in on his father daily,serving engine fuel to the passengers,leaving Todd to save herself,locking up the store,calling for help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,1,,,,1,,,,,,,1,,,
100,127,TRUE,94,100,100,100,100,100,,,,0,100,100,,,,,,,18,6,0,,,,,,,38,73,47,,,,,,,,,,,,,,,,,,,33,87,87,,,,,38,Female,White / Caucasian,,College Graduate (4 year),Rung 5,switching insurance plans,calling a taxi,overcharging the next customers,borrowing someone's phone,copying a friend's assignment,collecting wood to start a fire,pretending they are conjoined twins,reading his mind,taking a detour at the next exit,taking her to his house but no further,calling emergency services,pretending the knife is part of a hip replacement,blaming it on the maid of honor,buying his father a tent,rationing their food,hiking until she finds cell service,telling his lawyer that he’s sick,leaving her dogs with him,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,,,,,,,1,,,,1,,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,,,,,,1
100,184,TRUE,,,,,,,100,100,100,,,,,,,0,40,20,,,,,,,0,0,0,,,,,,,0,0,0,30,0,0,,,,70,100,100,,,,,,,,,,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 5,taking out a loan,demanding that the airline delays the flight,explaining the situation to his boss,pulling the fire alarm,lying that her house burnt down,boosting morale with a three-legged race,stealing someone else's ticket,tackling him and holding him down,tailgating the car,calling her a cab,slashing the tires,hiding the knife in someone else's bag,borrowing their mom’s wedding ring,pitching his situation to a reality TV network,organizing a fishing crew,giving Todd her water,asking a friend to take over,hiding him in the snow,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,,,,,1,
100,109,TRUE,,,,,,,,,,,,,,,,,,,1,1,1,51,69,46,7,16,1,,,,,,,,,,89,69,59,,,,9,2,1,59,29,65,,,,,,,,26,Male,White / Caucasian,,College Graduate (4 year),Rung 6,starting a fundraiser,trying to convince a passing driver to trade cars,getting an advance payday loan,renewing her membership,calling her mom,stealing all of the food and water,teleporting into the concert,asking the parents if they know him,honking an angry message in Morse code,refusing to drive her,lighting a fire under the car,taking a train instead,calling the taxi company,abandoning his father,selling all the food to the highest bidder,yelling at Todd for getting stuck,calling his lawyer,stealing his dogs for extra speed,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,1,,,,1,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,
100,223,TRUE,5,40,0,,,,15,70,5,0,0,0,,,,,,,,,,,,,,,,0,0,0,35,90,44,0,0,0,,,,,,,,,,,,,,,,,,,,42,Male,White / Caucasian,,College Graduate (4 year),Rung 6,going on strike for better wages,stealing a passing driver's car,paying the money from his own wallet,crawling past the front desk,bringing in the assignment the next day,searching for a water source,going without Ted,waving to the parents,honking at the driver until they pull over,turning invisible,asking to use the mall's loudspeaker,threatening security with the knife,stealing someone else’s ring,moving into his father’s apartment,throwing disobedient passengers off the boat,getting her arm stuck in solidarity,staging a break-in at the store,finishing the race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,,
100,146,TRUE,,,,82,98,90,,,,,,,83,98,93,74,94,84,,,,,,,,,,,,,,,,,,,,,,82,95,91,,,,,,,83,62,39,27,91,33,,31,Male,Black / African American,,College Graduate (4 year),Rung 3,committing credit card fraud,taking a public bus,paying the money from his own wallet,pulling the fire alarm,calling her mom,huddling to conserve energy,giving her ticket to Ted,making cat noises at him until he leaves,pulling over and calling 911,yelling in gibberish until she leaves,checking that the doors are locked,storing the knife in an airport locker,running away,getting another job,requesting supplies to be airdropped,sawing Todd’s arm off,leaving the store unattended,carrying her competitor on her sled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,1,,,,,
100,159,TRUE,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,80,80,80,,,,2,80,8,,,,15,0,20,,,,,,,,,,,,,,,,,60,Male,White / Caucasian,,Some College,Rung 4,switching insurance plans,stealing a passing driver's car,selling one of his kidneys,crawling past the front desk,hypnotizing the teacher,stealing all of the food and water,trying to buy a ticket off another person,tackling him and holding him down,honking at the driver until they pull over,yelling in gibberish until she leaves,pouring water on the car to cool it,hiding the knife in someone else's bag,running away,checking in on his father daily,rationing their food,getting her arm stuck in solidarity,leaving the store unattended,stealing his dogs for extra speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,1,,,,1,,,,1,,,,,,,,,,1,,,,,1,,,,,,1,,
100,210,TRUE,,,,,,,,,,,,,65,81,77,,,,,,,84,100,95,,,,,,,,,,,,,,,,,,,65,100,72,58,53,31,17,53,52,71,92,93,,25,Male,White / Caucasian,,Some College,Rung 3,searching for the medication on the black market,trying to convince a passing driver to trade cars,explaining the situation to his boss,paying for a day-pass to the gym,copying a friend's assignment,collecting wood to start a fire,stealing someone else's ticket,keeping an eye on him,taking a detour at the next exit,turning invisible,lighting a fire under the car,taking a train instead,borrowing their mom’s wedding ring,moving into his father’s apartment,organizing a fishing crew,leaving Todd to save herself,telling his lawyer that he’s sick,finishing the race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,1,,,1,,,,
100,274,TRUE,50,70,5,,,,,,,,,,,,,96,96,100,0,0,0,,,,,,,35,95,26,,,,70,90,95,,,,50,36,3,,,,,,,,,,,,,,28,Male,Native American / American Indian,,Vocational/Technical School (2 year),Rung 1 (Bottom Rung),committing credit card fraud,taking a public bus,overcharging the next customers,borrowing someone's phone,lying that her house burnt down,searching for a water source,teleporting into the concert,reading his mind,honking an angry message in Morse code,refusing to drive her,slashing the tires,asking to check the knife,blaming it on the maid of honor,buying his father a tent,requesting supplies to be airdropped,sawing Todd’s arm off,calling his lawyer,carrying her competitor on her sled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1,,,,,,1,,,,,
100,64,TRUE,64,24,90,,,,,,,,,,,,,23,61,30,,,,,,,37,35,60,,,,,,,,,,19,24,46,,,,28,41,58,33,58,32,,,,,,,,28,Male,White / Caucasian,,College Graduate (4 year),Rung 9,committing credit card fraud,,,,,collecting wood to start a fire,,,tailgating the car,,,,blaming it on the maid of honor,,organizing a fishing crew,leaving Todd to save herself,,,,,,,,,,1,,,,,5,,,3,,,,2,,6,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
100,110,TRUE,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,100,97,89,,,,,,,2,1,1,98,97,92,,,,82,72,74,,,,,30,Male,Hispanic / Latino,,College Graduate (4 year),Rung 8,,,,pulling the fire alarm,,,stealing someone else's ticket,,,,asking to use the mall's loudspeaker,,,buying his father a tent,requesting supplies to be airdropped,,leaving the store unattended,,,,,,,,,,,,5,,,1,,,,6,,,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,
