startDate,endDate,progress,duration,finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_text,education,SES
2021-11-18 14:58:13,2021-11-18 15:13:03,100,890,TRUE,Ask a family member for help.,leave the car call a cab.,Put in 50.75 of your own money.,use phone at the gym to call friend.,call my mom and tell teacher about it.,Try to make shelter and wait.,Give him my ticket and go get his.,I would do nothing.,call 911.,Give her money for a cab.,call mall security.,Leave knife behind.,call the cab company.,Let him stay at my apartment.,Try to ration the food and keep calm.,shelter Todd and go for help.,call an employee to see that is near.,help him.,,67,Male,White / Caucasian,,College Graduate (4 year),Rung 5
2021-11-18 15:04:14,2021-11-18 15:14:15,100,601,TRUE,start working another job,call family to see if they can get me to the airport,add $50.75 of my own money into the register,wait for my friend to arrive and talk to him when he gets there,tell my teacher the truth and turn in my homework tomorrow,"stay in one spot, build a fire and wait for rescue",look for a ticket scalper and pay for a ticket for my friend,"ask the teenager what he's doing, possibly yell so the family looks over",call 9-1-1 and give them the person's license plate number,politely explain that I don't feel comfortable giving her a ride,call 9-1-1 immediately,tell security before they find it,immediately tell my sister and then call the taxi company,move in with my father,"tell the passengers the situation, ration meals",leave Todd with all the supplies and leave him to go get help,I would call a coworker to see if they can fill in for me.,call 9-1-1 immediately,,50,Male,White / Caucasian,,High School or equivalent,Rung 4
2021-11-18 14:57:42,2021-11-18 15:14:36,100,1014,TRUE,Get a second job,Call a tow truck and an Uber. Have the car towed to a trusted mechanic and continue to your trip. ,Re-check the daily sales to make sure that money is actually missing.,Renew your membership.,Call Mom and ask her to bring the assignment.,Find a clearing and light a fire away from the trees.,Let him go back and get his ticket. We will see him at our seats.,"Say ""Hi, are you part of the group?""","Honk my horn, they may just be sleepy.","Tell her there will be someone else along that may be able to help, but I need to pick up my child before Daycare closes. ",Call Mall Security to help the dog. ,See if you can get your checked bag back to pack the knife away. ,Find a short term replacement so the ceremony can continue.,Find a house and move in with Dad.,Tell everyone to start fishing and boiling water so you have food and clean water. ,"Find some branches to build a shelter for shade, get him water then a large stick to help pry the crevice open.",Close the store and hang a sign apologizing for the inconvenience.,Get help for my competitor - No one wants to die,,43,Female,White / Caucasian,,College Graduate (4 year),Rung 5
2021-11-18 15:09:24,2021-11-18 15:15:27,100,362,TRUE,try to get extra money or take out a loan for the medicine,Try to get a taxi or uber to pick me up and take me to the airport,leave a note and check the tape the next day to see why it may be short,wait for them and try to go in together so they don't notice,tell the teacher what happened and call my mom to bring it ,try to find shelter in a cave to hunker down in,Try to figure out how to get him in without a ticket,go get the people and let them know,call 911,Tell her that I don't have time,call the police,throw it in the garbage really quickly,panic and signal to someone to call the taxi,see if there is another relative he could stay with,tell them that help will arrive soon and encourage calm,look on nearby trails to try and find other people who could go get help,lock the store and leave for the appointment,I would stop and help them and call to get other people to help,,38,Male,White / Caucasian,,Master's Degree (MS),Rung 7
2021-11-18 15:04:53,2021-11-18 15:16:24,100,690,TRUE,Explore payment plan options,Call a tow truck and a close friend and see if they can come wait with my car while I grab a cab to the airport.,Review my transactions for the day and see if anything looks unusual,"Explain the situation to the receptionist. See if they'll give me a guest pass for the day and if not, ask for an escort to go inform my friend",Explain the situation to my teacher and ask to turn it in tomorrow,Pool resources and ration food. Start a fire and wait for rescuers,Check with the venue to see if they have any way of finding the ticket in their system,Keep an eye on him,Call 911 and keep following from a safe distance,Apologize and decline,"Call the police and stay by the car. If the dog's condition worsens before the police arrive, break the window",Alert a TSA agent. Ask if there is any way to check the knife.,Discreetly leave and call the cab company,Move in to his home or find an in home caretaker,Lay out a clear rationing plan. Advise people to stay out of the sun and not drink sea water. Try and set up a way to collect water.,Leave Todd with fod and water and cover him from the sun then go for help,Close the store and leave,Stop my sled and try to render aid. Call for medical help.,,27,Female,White / Caucasian,,College Graduate (4 year),Rung 6
2021-11-18 14:57:24,2021-11-18 15:17:29,100,1205,TRUE,"I would ask my friends, parents, and my spouse's family for a loan and pay them back asap.","I would call a friend or my brother that I left my car there, and jump on an Uber to get to the airport.",I would put some of my own money to make up for the missing amount so that I don't lose my job.,"I would wait for my friend and tell him I can't play racquetball today because I hurt my back. I would then suggest we go have lunch somewhere. Then later, I would renew my membership and call my friend to re-schedule.","I would tell my teacher, and have my mom write a letter to my teacher. I would try to remember my answers to my assignment and try to put down as much information that I can remember.",I would hide the food and water somewhere so that I can eat and drink them later,"I would suggest we do something else, like go to a bar instead.",I would not do anything.,"I would honk and try to remember to license plate number. I would take another street to drive home, and call the police if I remember the license plate number by the time I get home.",I would decline.,I would call animal control immediately.,"I would tell the security officer that I accidentally brought my knife in my bad and I am a chef going to a food festival. If they don't let me bring it, I would find a locker and store the knife there.",I would try to call the taxi company and report it. I would go to the nearest place and find a cheap ring in replacement.,"I would talk to my brother to see if we can come up with enough money for a retirement home. If not, I would let my father live with me and apply for welfare.",I would take all the food supplies under my control and ration them out equally each meal. I would lock the food supply somewhere safe and check to see no one is dehydrated.  ,"I would leave Todd and walk over to where I get better reception. After I call 911, I would return to where Todd is.",I would lock the convenience store and leave a voicemail and text message that I have to leave for my court appointment and tell him that I locked up the store.,I would stop and help the person. I would call 911 and people running the competition.,,29,Female,Asian / Pacific Islander,,"Professional Degree (MD, JD, etc.)",Rung 8
2021-11-18 15:13:42,2021-11-18 15:23:05,100,563,TRUE,borrow money from family,call an uber or family member for a ride,tell boss to check the cameras,renew membership at front desk,tell the teacher to call mom,use the position of the sun to find my way back,buy a new ticked online or at the front,mind my business,call police and give his license plate,either take her or take her that direction as far as im going,call the police/fired dept,tell TSA and have them disposed of it and buy a new knife in chicago,call taxi and tell sis to delay ceremony for a little while,ask a relative for help,tell them to ration the food until help arrives,walk until i have service,stay till either he or another coworker gets there,stop and call for help,,28,Male,White / Caucasian,,Some College,Rung 6
2021-11-18 15:12:07,2021-11-18 15:23:17,100,670,TRUE,reach out of family for money,Leave the car and call an uber. while in the uber call a relative and tell them to take care of the car.,I would recount the money and if it wasn't there report what happen,arrive before the friend and explain the situation,explain to the teacher what happened ,Try to make a shelter and fire to help alert someone. Try and find some water if possible.,Try and buy another ticket at the show,confront him in a friendly manner and figure out his motive,give the car plenty of space and call 911,i would offer to call someone for her but not take her,Call the police. If necessary break the window.,explain the situation to the security,Try and borrow a ring from someone at the wedding to use,See information online or look for low income housing. In the meantime he stays with me.,Explain the situation and ration out of the food accordingly,leave him with as much supplies as possible and seek help.,Leave him a note explaining the situation and head to court,Stop and try to help the person. Winning can wait,,36,Male,White / Caucasian,,Some College,Rung 3
2021-11-18 14:58:20,2021-11-18 15:23:48,100,1528,TRUE,Set up a GoFundMe page and ask friends and family if they can help out financially.,Call an ride service or taxi or check to see if I am near a rapid transit system that would bring me to the airport. ,Review the receipts for the day and question the cashier(s).,Renew my membership on the spot.,Contact my mother to see if she can bring the homework assignment or ask for a pass to go home to get it and bring it back.,"Light a smokey campfire to attract help. Find a flowing body of water (stream, river) and follow it and use it for drinking water. Try to find shelter.",I would advise Ted to see if he can purchase another ticket from a scalper.,I would keep an eye on the teen and inform the family when they return from the water.,Call 911 to report the driver.,I would decline the request and instead suggest she call a taxi or call one for her.,Notify mall security.,Inform TSA of the knife and why it's there and let them take it out and check it in luggage. Otherwise I would leave the knife and get another one when I arrive in Chicago.,Inform my sister and call the cab company to see if the ring has been found.,I would take him into my home regardless of the space available.,Ration the supplies.,"Find something with which to cover Todd to protect him from sun exposure and the elements, give him whatever rations and water I can spare him of my own supply and then leave to find help, leaving trail markers along the way to find my way back.",Call the courthouse to advise of the situation and request a delay.,Exit the race and assist the unconscious competitor.,,65,Male,White / Caucasian,,Some College,Rung 3
2021-11-18 14:58:21,2021-11-18 15:26:22,100,1681,TRUE,I would sell expensive belongings. ,I would call friends and family until I found someone to take care of my car then I would call an uber to drive me to the airport. ,I would search everywhere for the money and recount the money. If both fail then I would call all the cashiers that worked to find out if any of them knew what happened. ,I would see if I could renew my membership. ,I would explain what happened to my teacher. ,I would try to make a fire and stay in one place so it would be easier for the rescue team to find me.,I would offer to pay for another ticket if he didn't have the money. ,I would wait to see what the teenager does and if it looks like he is stealing I would call out to him. ,I would slow down and call 911 to let the police know. ,I wouldn't give her a ride. I don't trust people who approach me at gas stations.,I would tell mall security so the could find the owner. ,I would reschedule my flight and return the knife to my house. ,I call the taxi to see if the ring is still there and if not I would tell my sister what happened. ,I would contact his doctor to see if he knows of any charities that could help. ,I would instruct the crew to keep passengers calm and I would make sure we're rationing food. ,I try to stay calm and keep Todd calm. If I'm positive I can't help him myself I would move around to try to get service. ,I would call my coworkers to see if anyone could cover for me. ,I would stop to help them. ,,30,Female,White / Caucasian,,High School or equivalent,Rung 5
2021-11-18 15:02:36,2021-11-18 15:30:37,100,1681,TRUE,I need help for someone,I have said that help for someone and get the plane.,I have maintain for my peace and solve the missing amount for confidently,I have tell for my situation in the gym owner,I have tell the information for my teacher and excuse for one day,I have try to rescue for this place,I have purchase for another some ticket,I have carefully watched him.,I had said that stop the car and I will have ride the car,I have decide for help,I have give the food for dog.,I have explain about my work,Urgently go to the spot and find the ring,I have definitely buy a another apartment for my father.,I have inform for my superior and convince for all the passengers,I have inform for everyone about the issue,I have immediately inform the boss's neighbors.,I have inform the police and continue for my race,,32,Male,Black / African American,,Master's Degree (MS),Rung 6
2021-11-18 14:58:03,2021-11-18 15:37:34,100,2370,TRUE,"Call the pharmacy, see if I can a partial script of the medication or if there was a generic version. I would try using an app like GoodRX to see where the cheapest pharmacy would be. Possibly call the Dr to see if there are samples available. Or call the manufacturer of the medication, sometimes they have programs where people can medication for a very very cheap price or free. If all that fails I would ask someone if I could borrow the money, then start figuring out what I can sell or cut end to save the money to pay them back.  ","Call a tow truck first, they take forever to get there. Call a family member or a friend to come take your place, have them bring someone else who can drive you to the airport.","I would report it to the manager, it could have been a mistake from the previous shift. I would go through all the steps and procedures in finding the mistake, it could have been in a form of a check or a mistake ringing up. No way ever would I put my own money into the register to make it even, lose of job or not. ",I would renew my membership. If that wasn't possible I wait for my friend at the desk or the door. If they had already entered I would have them called to the desk or ask someone going into the gym to have my friend come outside. ,I would call my mom and ask her to bring it to the school. If she weren't I would see if there was some way the teacher could talk to my mother on the phone and get an explanation. I would make sure the teacher knew up front why I didn't have the work. ,Stay put and try to stay warm the best way I could. Going further may prolong the rescue.,"The price of tickets are expensive, so buying another one would be pointless. I would offer to take Ted back and would miss some of the concert with them.",Go to one of the parents and explain that I wasn't sure if the teen was a part of their party that I didn't recall seeing them together. I would definitely bring it to their attention.,See how long they continue the behavior. Are they just preoccupied or something more? If they continued I would call 911 and tell them something was wrong with the driver. But not mention intoxicated because it could be a medical emergency. ,"I wouldn't take them, I don't trust anyone. If I had the extra money I would probably offer an uber.","I would call 911, instruct someone to call the mall and have a page announced about the car and dog. Ask the 911 operator about the law in the state on breaking a window. Because that dog is getting out of that car alive if I have anything to do with it.","I would get the attention of a TSA agent or airport employee, explain to them what is going on and find out how to handle the situation. I don't think I would wait until I reach the point of security before saying something.  ","Take off my ring for them to use. Whisper very quickly what happened and smile, always smile to reassure it will be ok. Afterwards call the taxi service, see if the taxi driver happen to find the ring or if someone turned it in. If not then I guess I will be buying a new ring.",Move in with my father into his house. If it is too small then get a bigger place to live. ,"Ration the food, give just enough to get by, make it stretch out. I would gather everyone together in person and explain what has happened, explain about the food, explain not to panic that help is on the way. ",Start walking until you have service or have reached someone who can get help. ,"I would call another employee or manager to come in for me. If I couldn't get a hold of anyone I would call my lawyer, you need to have a lawyer for any court proceedings, get their advice and go from there. It may be a case where it can be postponed. If it isn't that type of case I HAD to show up or risk jail time, I would probably lock the store up and go to court. I can always find another job.",Stop and rush over to see what can be done for them. Call for a rescue team and stay with the hurt competitor until help arrived.,,47,Female,White / Caucasian,,Some College,Rung 4
2021-11-18 14:58:16,2021-11-18 15:38:31,100,2415,TRUE,"Get on mturk, go trade some crypto, borrow money, pawn stuff. any or all of those", I probably call a tow truck to take the car home and get an uber to the airport. This isn't even a big deal if I left early enough,I'm honest with the boss and we figure out together what happened. It's likely data was entered wrong,"Leave a message for when he checks in, Ask the gym to call him",Im in elementary school so probably make up a story about some gang members that demanded my homework and I had to beat them all up and during the melee I lost it.,"I find water immediately, secure shelter, build fire.",We buy him a ticket,"""I didn't see you with that family earlier. Are those your things? If gthey're not you better get somewhere else before I stand up!""",Call the police,I use my intuition and likely take  her,"Break window quickly, call police.","Don't say anyuthing, they likely won't find it and if they do, you lose an expensive knife. ","Get rings from anyone I can then when its time to give them the rings, do so with a short note thats says don't worry.","It doesnt matter what it takes, I figure it out. Probably first I get on the phone to find available resources","You have to be honest, nobody is in danger. Make up some fun things to do and offer them free shit.","I find water for Todd, shelter him from the sun and get help or find a signal","Assuming I told my boss about the court date, I lock the store and go to court.",I radio to race officials. Im not a doctor and I don't know how I would make the situation better,,45,Male,White / Caucasian,,High School or equivalent,Rung 3
2021-11-18 15:33:29,2021-11-18 15:41:42,100,492,TRUE,sell some stuff to get the money,"cancel the flight, call a towtruck",i'd replace the money,i might re-up my membership,talk to the teacher about the misunderstanding and see if she would call my mom for me,stay still and make a base camp,look for a scalper,i'd ask him what he was doing,slow down to get away from the driver,lie and tell her i'm headed somewhere else,call 911,throw the knife away,step outside and call the cab company,find him a roommate,ration food and say calming things to prevent a panic,might wait until dusk to climb higher and get cell service,it depends on if i can contact the court or not and how much trouble i could be in. if it would be a warrant I might just lock the store.,administer first aid,,52,Female,White / Caucasian,,College Graduate (4 year),Rung 6
2021-11-18 15:22:48,2021-11-18 15:42:00,100,1151,TRUE,I would get the medication on credit.,I would have purchased the insurance. First I'd deal with the towing service then get my plane tickets refunded/reschedule the trip.,Explain this to the manager. If they don't believe me then I don't want to work there anyway.,"I'd leave a message with the gym staff, return to the office and call my bud from there.",Explain the situation to the teacher and suggest she call my mom to check my story.,"Stay in place and build a fire, the bigger the better to attract attention and drink melted snow when the water runs out.","Maybe Ted could call someone from home to bring him the ticket and we could meet at a point halfway, so Ted would still see most of the concert.","I'd nonchalantly go over to the family and bring this to their attention, quickly before he takes anything and gets away.","I would find a place to stop for half an hour, else I would turn down a different road and take the alternate route.",I would tell her that I'm not going that way.,I would get mall security or call the police.,I would mail the knife back to myself lest it be confiscated. If the knife were'nt especiall valuable I might turn it over for disposal if they won't let me put it in my checked baggage.,"I would mine the motions then explain the missing ring later, so as not to disrupt the proceedings.",There are facilities to deal with this situation funded with tax money.,Immediately begin rationing the food and especially the water and enforce it strictly.,"I'd leave my water with Todd and go for help, all the while checking to see if I now have a cell signal.","I would have discussed the matter well in advance and we could have arrived at a contigency plan. That failing, I would call the court and explain the situation and ensure that they know it's my boss's fault, not mine.","I have no medical training, and time is of the essence, so I would press forward and get help. This is assuming no cell service way out in the middle of nowhere in sled dog country.",,51,Male,White / Caucasian,,College Graduate (4 year),Rung 4
2021-11-18 15:25:08,2021-11-18 15:42:22,100,1034,TRUE,Check the web for any ideas.,"Skip the safari, fix the car.","Talk it over perhaps with anyone involved, add my own funds to cover it if needed.",Ask to borrow someone's phone.,Tell the teacher as soon as I arrived.,Build a big fire somehow.,Ask around for a ticket if not too expensive.,Just make mental notes and keep an eye on him.,"Stay back and wish him the best, maybe call 911 if it really gets bad.",Talk to her to get a feel for her and if safe take her 10 miles further.,"Ask around, get others involved.",If possible take it back to my car quickly.,Tell the main party immediately.,He moves in for a while.,Take careful analysis of all the factors.,See if there is water near by.,"Lock the door, leave a note.",Keep going as others are too and someone will help him who is paid to do so.,,64,Male,White / Caucasian,,College Graduate (4 year),Rung 4
2021-11-18 16:07:32,2021-11-18 16:15:52,100,499,TRUE,I would see what loans I can get.,I would have to just wait with my car and probably miss my flight unless I have a friend in the area.,I would ask around and see if anyone knows why that amount of money is missing.,I would buy a new membership.,I would explain what happened to my teacher and have her ask my mom to confirm the story.,I would try to stay find the warmest spot close by and set up a camp there.,I would ask everyone to pool some money together to get a new ticket for him.,I would say something to them and see what their reaction is.,I would call the cops.,I would politely tell them no.,I would get mall security to get the dog out.,"I would explain what happened and what my job is and ask if they can just take the knife, so I can get on my flight.",I would try to get my mothers attention to explain what happened.,I would have to take him in and try to find a larger place.,I would try to figure out if there is a way to ration the food to keep everyone alive.,I would try to find somewhere with cell service.,I would lock the store up and leave.,I would help them.,,26,Male,White / Caucasian,,Some College,Rung 2
2021-11-18 16:10:17,2021-11-18 16:17:43,100,445,TRUE,try to raise money,call for help,put in my money,renew my membership,try to call my mom,try to use my cell to call for help,not go in without him,tell them,move away or stay far behind the driver,give her a ride,break the window,tell them and leave it,call the taxi,try to raise money,ask a professional for advice.,try to walk for help,Lock up shop and leave,help them,,37,Female,Hispanic / Latino,,College Graduate (4 year),Rung 5
2021-11-18 16:10:27,2021-11-18 16:23:14,100,767,TRUE,sell something of value to buy it,call for a cab,make sure the amount is covered,ask to use the phone,tell the teacher the truth,stay as warm as possible,pitch in to buy him a ticket,ask if he is with them,call 911 to let them know,okay I will do it,break a window open and let the dog out and call the police,throw the knife away,let my sister know what happened,find a friend to take care of him,ration the food out until it gets there,try to go get help,lock the store down until he gets there,stop and radio for help,,55,Male,White / Caucasian,,Some College,Rung 1 (Bottom Rung)
2021-11-18 17:37:07,2021-11-18 17:50:17,100,789,TRUE,"By hook or by crook, I will come up with the money to make sure my spouse is alright.","Call a tow truck for the car, have them drop it off at my home and catch a taxi to the airport.",I cover the register and have security run the cameras and audit the registers so we can find out what went wrong.,I will talk to the desk agent and get a day pass so I can play with my friend.,I tell the teacher that I completed the assignment and I ask to call my mom so she can send a photo of it to my teacher's email.,Tap into the survivalist in me and live off the land until help arrives.,Explain the situation to a sympathetic guard and get Ted in.,"I ask him what is he doing and alert the family to his presence. If he doesn't know them, it's time for some sweet chin music.",I pull up to the driver and get his attention. Ask him to pull over and offer him a ride home if he parks his car.,I let her know that I have a time to keep and offer to order her an uber to where she is heading on my dime.,"I will find the owner of the car, if I cannot find him within a few minutes a brick is going through the window.","I determine if the knife is essential or not, if it is I buy a small bag at the airport and check the knife. If it's cheap, I leave it behind.",I call the taxi and offer him incentive to come back immediately.,I will downsize my belongings to have more space and make dad my roommate.,I ask everyone to ration the food and water and to work together because it will be a long week and we will need each other's support.,"Tell Todd to hang tight for a minute, and go find a signal for some help.",I will call my lawyer and explain the situation in advance so he can be prepared when he's in front of the judge.,I will alert racing officials to their condition and continue the race.,,37,Male,Black / African American,,Some College,Rung 6
2021-11-22 11:08:07,2021-11-22 11:12:28,100,260,TRUE,Take out a loan,Call a friend to handle the car and take an Uber,Ask around if there are any mistakes,Renew my membership,Take the loss,Try to scavenge for food,Try to get another ticket,Nothing,Call the police and follow behind slowly,Tell her sorry I can't take her,Call someone to break the window,Admit to having the knife and say it was a mistake,Tell my sister the truth,Move in with my father,Lie to keep everyone calm,Tell Todd I am going to find help,Close up shop and go to court,Call for help,,23,Male,White / Caucasian,,College Graduate (4 year),Rung 8
2021-11-22 11:08:21,2021-11-22 11:12:30,100,248,TRUE,try to work for the money,flag down a driver for help,tell the manager,let the desk know ,explain the situation ,wait for help,continue to the concert,ask the teen what they are doing,call 911,help the woman out,call 911,Tell security about the situation,leave the wedding and find the ring,let him live with me,ration the food,continue helping todd,continue working,Help the competitor,,26,Male,White / Caucasian,,Some College,Rung 3
